Avg X,Avg Y,Velocity (μm/ms),Uncertainty (μm/ms)
728.5,454.0,0.7142041934488897,0.1413205785158085
1391.0,579.0,0.4107892304294907,0.14131737505248626
1283.0,684.5,0.6250328917080886,0.1413194577570251
725.0,880.5,0.45226573037809775,0.14131771100487844
1241.5,815.5,0.5170111181591278,0.14131829997388132
1159.0,1329.5,0.48052564205895143,0.14131795840027173
944.5,1194.5,0.47346062780249576,0.14131789514580897
714.0,1431.0,0.16957894959972303,0.1413160612226308
1383.5,1378.0,0.3038289513661704,0.1413166576954022
1460.0,1417.5,0.12738033292106768,0.14131594361458374
274.0,989.5,0.5229161675744809,0.14131835760556116
562.0,1444.0,0.156088393270362,0.1413160199895418
983.0,529.0,0.31121574746225444,0.1413167003339721
1262.5,336.0,0.36063225123615555,0.1413170119231307
579.5,663.5,0.5017208158464953,0.14131815378610008
800.0,354.5,0.254466541442539,0.14131639905237295
1200.5,962.5,0.5441116764484079,0.1413185698586186
1605.5,451.0,0.4089010943842599,0.14131736052733
1304.0,1065.0,0.26887163001321934,0.14131646980440804
1223.5,228.5,0.6433361628574075,0.14131967563097955
1170.0,192.0,0.25476066584213536,0.14131640045804283
1745.5,1073.5,0.529981320669531,0.14131842741951592
721.5,630.5,0.5444785757999104,0.14131857360701405
