Avg X,Avg Y,Length (μm),Velocity (μm/ms),Uncertainty (μm/ms)
915.5,822.0,28.319451488707315,0.5875404873175791,0.07921658695469455
1484.0,552.5,59.13122290467627,1.226788856943491,0.0792480904837328
1451.0,900.5,34.7315532488077,0.7205716441661348,0.07922131460323324
1605.0,890.5,20.82881368183567,0.4321330639384993,0.07921228164380839
1859.5,953.0,13.476984439921099,0.279605486305417,0.07920933206263092
1902.5,934.0,57.7071742923953,1.1972442799252137,0.07924614553221603
1555.5,1440.0,9.11062906724512,0.18901720056525143,0.07920817861444607
1557.0,1461.0,7.809110629067245,0.16201474334164406,0.07920792106742383
1261.5,1474.5,9.120952729556894,0.18923138443064094,0.07920818081569904
1316.5,1470.5,5.656574755056528,0.11735632271901511,0.07920758207263087
1344.5,1077.0,13.449023861171367,0.27902539131060927,0.07920932325774654
1551.5,304.0,6.507592190889371,0.13501228611803673,0.07920770314236635
1566.0,297.0,18.22125813449024,0.37803440113050285,0.07921109081865772
1535.5,237.0,11.713665943600867,0.24302211501246612,0.07920881257277923
1397.5,183.0,22.99349240780911,0.4770434109503965,0.07921339101009667
1718.5,741.5,11.721697254756005,0.2431887397252283,0.07920881477401462
2054.0,1319.0,12.178454531555921,0.2526650317750191,0.07920894244556156
1766.0,1175.0,17.547720968465672,0.36406060100551185,0.07921080906812884
1753.0,1159.5,13.022413032367579,0.27017454423999127,0.07920919118436376
1960.5,602.0,20.390455531453362,0.42303849650318176,0.07921207033418244
1701.0,685.0,43.41864122584574,0.9008016851835215,0.0792292528086176
1714.5,661.0,45.56140819595912,0.9452574314514339,0.07923148205344352
1149.5,932.5,20.431951131135126,0.4238994010608947,0.07921209014448381
1689.0,130.5,11.354665794622473,0.23557397914154507,0.07920871571836227
