Avg X,Avg Y,Length (μm),Velocity (μm/ms),Uncertainty (μm/ms)
1483.0,552.0,57.43090930454807,1.1915126411731964,0.07924577369781433
1484.5,552.0,60.35984214217802,1.252278882617801,0.07924980657778415
1484.0,552.5,58.21375759477604,1.207754306945561,0.07924683199114323
1149.0,934.5,19.999011837945528,0.41491725804866236,0.07921188543779731
1148.0,935.5,20.82881368183567,0.4321330639384993,0.07921228164380839
1148.5,934.5,20.431951131135126,0.4238994010608947,0.07921209014448381
532.5,799.5,19.909403740709354,0.4130581688943849,0.07921184361593607
531.5,801.0,21.539594945434118,0.4468795631832804,0.07921263382526568
532.5,799.5,22.46769175917406,0.46613468380029166,0.07921311146886524
543.5,1447.5,11.721697254756005,0.2431887397252283,0.07920881477401462
542.5,1447.0,11.745758239202502,0.2436879302739108,0.07920882137772035
544.0,1446.5,11.288166447945933,0.23419432464618117,0.07920869810845554
1436.5,348.0,13.449023861171367,0.27902539131060927,0.07920932325774654
1436.0,346.5,12.155250087741345,0.25218361177886606,0.0792089358418659
1437.0,347.0,13.015184381778742,0.27002457223607346,0.07920918898313885
914.5,822.5,30.013415282304518,0.6226849643631642,0.07921774248143722
914.0,822.0,30.418304803398012,0.6310851618962243,0.07921802860926518
914.0,820.5,30.446136328889807,0.6316625794375478,0.07921804841807653
1764.5,1173.5,18.660141577098976,0.387139866744792,0.07921128011923145
1765.5,1173.0,20.408908436163255,0.42342133684986005,0.07921207913876145
1765.0,1175.0,21.69197396963124,0.45004095372678915,0.07921271086475075
