Avg X,Avg Y,Length (μm),Velocity (μm/ms),Uncertainty (μm/ms)
549.0,887.0,26.024065832175534,0.4034738888709385,0.0635775379500849
635.5,783.0,23.0168316787374,0.3568501035463163,0.06357686782575868
670.0,686.0,18.666399719693743,0.28940154604176344,0.06357604382313982
563.0,741.0,19.90164952558595,0.30855270582303795,0.06357626030393493
630.0,913.0,10.609616086765909,0.16449017188784354,0.06357497202010871
632.5,1057.5,16.352301776084865,0.2535240585439514,0.06357567559185878
680.5,834.5,40.630778231957244,0.6299345462318953,0.06358196176069493
666.5,782.5,22.485632081298313,0.34861445087284204,0.06357675799473221
547.0,958.5,22.874342737578488,0.3546409726756355,0.06357683811303594
578.0,829.5,21.733036785198177,0.33694630674725856,0.06357660677779113
