Avg X,Avg Y,Length (μm),Velocity (μm/ms),Uncertainty (μm/ms)
1361.0,916.5,28.64074538233339,0.44404256406718434,0.06357818790556978
1323.0,810.0,12.840398448549804,0.19907594493875666,0.06357520972847892
1282.0,738.0,22.635727735592816,0.35094151528050876,0.06357678876866213
1352.0,822.0,19.038030068540163,0.2951632568765917,0.06357610749403844
1477.0,1051.0,23.376747109360842,0.36243018774202856,0.0635769436992555
1458.0,1326.0,10.454399125870511,0.16208370737783737,0.06357495716330608
1441.5,798.5,27.73141405565784,0.42994440396368744,0.06357795498351095
1438.0,1128.0,24.036763896811976,0.37266300615212367,0.06357708589549521
1556.0,1213.0,35.30737536027473,0.5474011683763524,0.06358012499879145
1631.0,1308.5,26.205155541499927,0.4062814812635648,0.06357758092693845
