Avg X,Avg Y,Length (μm),Velocity (μm/ms),Uncertainty (μm/ms)
406.5,272.5,23.56083841516296,0.20328592247767865,0.03538052711783673
163.0,288.5,12.53205505946658,0.10812817135001364,0.035380215355835624
378.0,226.5,13.960125432126135,0.12044974488460858,0.0353802449866045
446.0,244.0,10.159849732077284,0.08766048086347958,0.03538017319596429
472.0,262.5,17.640454029341914,0.15220408998569382,0.035380336073627505
472.0,577.0,48.844603898134984,0.4214374797078083,0.03538196087673504
338.5,663.5,19.718926529311194,0.17013741612865568,0.035380396889631786
170.5,332.5,16.352301776084865,0.14108974785232842,0.035380301778842146
