Avg X,Avg Y,Velocity (μm/ms),Uncertainty (μm/ms)
801.0,850.5,1.5877576634437054,0.040125850739782414
802.0,850.5,1.6222812293744144,0.04013137407999784
802.0,851.0,1.6231859313107306,0.04013152040815822
1139.5,826.0,1.8706683456156141,0.04017458898653666
1137.0,824.0,1.9658625923732205,0.040192766301019506
1136.5,826.0,1.9745178138024873,0.04019446333001715
1438.0,1194.5,1.3716190379779534,0.04009395659125418
1439.5,1193.5,1.3798550921334738,0.04009508698458138
1438.5,1193.0,1.3970709056923747,0.04009747159687414
1765.5,1299.5,0.4773023007193082,0.04001138925287508
1763.5,1299.0,0.47722342733188716,0.04001138548961255
1765.0,1300.0,0.4862100035096538,0.04001181826248404
