Avg X,Avg Y,Length (μm),Velocity (μm/ms),Uncertainty (μm/ms)
1166.5,924.0,41.29686989644169,0.8161436738427211,0.10289947505584458
270.5,921.5,54.61899484604847,1.0794267756136062,0.10290894611917893
510.5,738.5,46.14632893908804,0.9119827853574712,0.10290261822299608
2016.0,1004.5,44.25375351106277,0.874580108914284,0.10290135008588557
117.5,1161.5,47.33822934300855,0.9355381293084694,0.10290344410806855
1194.0,524.5,34.9260990239978,0.6902391111462015,0.10289587557206953
1435.5,1203.0,36.88656232364421,0.7289834451313085,0.10289691915629547
1347.0,1073.5,37.31271746506641,0.7374054834993362,0.10289715354274095
701.5,802.5,34.3418957521272,0.6786935919392727,0.10289557560940454
363.5,1014.5,39.596023285395695,0.7825301044544604,0.10289845521489203
