Avg X,Avg Y,Length (μm),Velocity (μm/ms),Uncertainty (μm/ms)
1282.5,686.0,40.49607454770782,0.6595451880734173,0.08479627877948656
1240.5,815.0,31.777076055930568,0.5175419553083155,0.08479366439167194
1199.5,962.0,34.28430039068173,0.558376227861266,0.0847943515742949
276.0,989.5,34.70986974224661,0.5653073247922901,0.08479447339245146
888.5,1176.5,32.5408530891092,0.529981320669531,0.08479386820437172
579.5,663.5,31.673253359555712,0.5158510319145881,0.08479363706042972
724.5,879.0,29.06724511930586,0.47340790096589347,0.08479298032707518
774.5,907.0,31.682165779192655,0.5159961853288706,0.08479363940310798
1216.0,1134.5,31.239455145153478,0.5087859144161805,0.0847935238309039
1612.0,1136.5,37.33288922892132,0.6080275118716827,0.0847952573974255
