,mass A,
1.919,-103.5,
1.935,-103.7,
1.952,-103.8,
1.969,-103.8,
1.985,-103.8,
2.002,-103.6,
2.019,-103.3,
2.035,-102.9,
2.052,-102.4,
2.069,-101.8,
2.085,-101.1,
2.102,-100.4,
2.119,-99.56,
2.135,-98.63,
2.152,-97.71,
2.169,-96.71,
2.186,-95.65,
2.202,-94.55,
2.219,-93.44,
2.236,-92.30,
2.252,-91.16,
2.269,-89.99,
2.286,-88.86,
2.302,-87.65,
2.319,-86.59,
2.336,-85.47,
2.352,-84.41,
2.369,-83.47,
2.386,-82.52,
2.402,-81.66,
2.419,-80.80,
2.436,-80.15,
2.452,-79.51,
2.469,-78.90,
2.486,-78.48,
2.503,-78.09,
2.519,-77.82,
2.536,-77.67,
2.553,-77.60,
2.569,-77.60,
2.586,-77.74,
2.603,-77.97,
2.619,-78.29,
2.636,-78.78,
2.653,-79.33,
2.669,-79.94,
2.686,-80.68,
2.703,-81.51,
2.719,-82.37,
2.736,-83.29,
2.753,-84.16,
2.769,-85.26,
2.786,-86.34,
2.803,-87.48,
2.819,-88.60,
2.836,-89.75,
2.853,-90.90,
2.870,-92.06,
2.886,-93.15,
2.903,-94.33,
2.920,-95.39,
2.936,-96.45,
2.953,-97.46,
2.970,-98.38,
2.986,-99.24,
3.003,-100.1,
3.020,-100.8,
3.036,-101.5,
3.053,-102.0,
3.070,-102.4,
3.086,-102.8,
3.103,-103.0,
3.120,-103.2,
3.136,-103.3,
3.153,-103.3,
3.170,-103.2,
3.187,-102.9,
3.203,-102.6,
3.220,-102.2,
3.237,-101.6,
3.253,-101.0,
3.270,-100.4,
3.287,-99.63,
3.303,-98.83,
3.320,-97.96,
3.337,-97.00,
3.353,-96.01,
3.370,-95.02,
3.387,-93.96,
3.403,-92.90,
3.420,-91.80,
3.437,-90.71,
3.453,-89.61,
3.470,-88.49,
3.487,-87.45,
3.504,-86.38,
3.520,-85.33,
3.537,-84.37,
3.554,-83.37,
3.570,-82.54,
3.587,-81.77,
3.604,-80.96,
3.620,-80.28,
3.637,-79.69,
3.654,-79.15,
3.670,-78.74,
3.687,-78.38,
3.704,-78.15,
3.720,-78.00,
3.737,-77.99,
3.754,-78.04,
3.770,-78.16,
3.787,-78.45,
3.804,-78.83,
3.820,-79.28,
3.837,-79.84,
3.854,-80.47,
3.871,-81.22,
3.887,-81.97,
3.904,-82.81,
3.921,-83.77,
3.937,-84.73,
3.954,-85.71,
3.971,-86.84,
3.987,-87.87,
4.004,-88.99,
4.021,-90.08,
4.037,-91.21,
4.054,-92.36,
4.071,-93.46,
4.087,-94.53,
4.104,-95.58,
4.121,-96.60,
4.137,-97.57,
4.154,-98.39,
4.171,-99.23,
4.188,-99.95,
4.204,-100.6,
4.221,-101.2,
4.238,-101.7,
4.254,-102.1,
4.271,-102.5,
4.288,-102.7,
4.304,-102.8,
4.321,-102.8,
4.338,-102.7,
4.354,-102.5,
4.371,-102.3,
4.388,-102.0,
4.404,-101.5,
4.421,-101.0,
4.438,-100.4,
4.454,-99.77,
4.471,-99.00,
4.488,-98.24,
4.505,-97.37,
4.521,-96.44,
4.538,-95.50,
4.555,-94.53,
4.571,-93.54,
4.588,-92.48,
4.605,-91.45,
4.621,-90.43,
4.638,-89.36,
4.655,-88.24,
4.671,-87.30,
4.688,-86.29,
4.705,-85.33,
4.721,-84.42,
4.738,-83.54,
4.755,-82.72,
4.771,-81.91,
4.788,-81.17,
4.805,-80.56,
4.821,-79.96,
4.838,-79.55,
4.855,-79.11,
4.872,-78.82,
4.888,-78.63,
4.905,-78.53,
4.922,-78.54,
4.938,-78.58,
4.955,-78.75,
4.972,-79.02,
4.988,-79.41,
5.005,-79.90,
5.022,-80.46,
5.038,-81.04,
5.055,-81.75,
5.072,-82.55,
5.088,-83.41,
5.105,-84.35,
5.122,-85.29,
5.138,-86.33,
5.155,-87.34,
5.172,-88.42,
5.189,-89.51,
5.205,-90.55,
5.222,-91.62,
5.239,-92.72,
5.255,-93.75,
5.272,-94.85,
5.289,-95.78,
5.305,-96.73,
5.322,-97.61,
5.339,-98.47,
5.355,-99.24,
5.372,-99.89,
5.389,-100.5,
5.405,-101.0,
5.422,-101.4,
5.439,-101.8,
5.455,-102.0,
5.472,-102.2,
5.489,-102.2,
5.506,-102.2,
5.522,-102.2,
5.539,-101.9,
5.556,-101.7,
5.572,-101.3,
5.589,-100.9,
5.606,-100.3,
5.622,-99.74,
5.639,-99.10,
5.656,-98.42,
5.672,-97.64,
5.689,-96.80,
5.706,-95.94,
5.722,-95.00,
5.739,-94.09,
5.756,-93.08,
5.772,-92.13,
5.789,-91.11,
5.806,-90.14,
5.822,-89.15,
5.839,-88.13,
5.856,-87.16,
5.873,-86.21,
5.889,-85.25,
5.906,-84.40,
5.923,-83.56,
5.939,-82.80,
5.956,-82.05,
5.973,-81.37,
5.989,-80.73,
6.006,-80.24,
6.023,-79.80,
6.039,-79.42,
6.056,-79.15,
6.073,-78.92,
6.089,-78.89,
6.106,-78.89,
6.123,-78.94,
6.139,-79.17,
6.156,-79.45,
6.173,-79.86,
6.190,-80.34,
6.206,-80.94,
6.223,-81.57,
6.240,-82.30,
6.256,-83.07,
6.273,-83.94,
6.290,-84.86,
6.306,-85.82,
6.323,-86.80,
6.340,-87.86,
6.356,-88.86,
6.373,-89.93,
6.390,-90.97,
6.406,-91.97,
6.423,-93.04,
6.440,-94.11,
6.456,-95.05,
6.473,-96.00,
6.490,-96.86,
6.507,-97.70,
6.523,-98.48,
6.540,-99.13,
6.557,-99.79,
6.573,-100.3,
6.590,-100.7,
6.607,-101.1,
6.623,-101.4,
6.640,-101.6,
6.657,-101.7,
6.673,-101.8,
6.690,-101.7,
6.707,-101.6,
6.723,-101.4,
6.740,-101.1,
6.757,-100.7,
6.773,-100.3,
6.790,-99.77,
6.807,-99.13,
6.823,-98.56,
6.840,-97.87,
6.857,-97.14,
6.874,-96.31,
6.890,-95.48,
6.907,-94.63,
6.924,-93.68,
6.940,-92.72,
6.957,-91.77,
6.974,-90.86,
6.990,-89.89,
7.007,-88.91,
7.024,-87.95,
7.040,-86.97,
7.057,-86.08,
7.074,-85.19,
7.090,-84.31,
7.107,-83.53,
7.124,-82.77,
7.140,-82.03,
7.157,-81.41,
7.174,-80.85,
7.191,-80.35,
7.207,-79.97,
7.224,-79.66,
7.241,-79.39,
7.257,-79.26,
7.274,-79.22,
7.291,-79.28,
7.307,-79.41,
7.324,-79.68,
7.341,-80.00,
7.357,-80.41,
7.374,-80.95,
7.391,-81.51,
7.407,-82.21,
7.424,-82.96,
7.441,-83.76,
7.457,-84.60,
7.474,-85.53,
7.491,-86.47,
7.508,-87.45,
7.524,-88.43,
7.541,-89.42,
7.558,-90.47,
7.574,-91.50,
7.591,-92.48,
7.608,-93.43,
7.624,-94.40,
7.641,-95.32,
7.658,-96.25,
7.674,-97.02,
7.691,-97.74,
7.708,-98.42,
7.724,-99.10,
7.741,-99.65,
7.758,-100.1,
7.774,-100.5,
7.791,-100.9,
7.808,-101.1,
7.824,-101.3,
7.841,-101.3,
7.858,-101.3,
7.875,-101.3,
7.891,-101.1,
7.908,-100.9,
7.925,-100.6,
7.941,-100.3,
7.958,-99.79,
7.975,-99.28,
7.991,-98.73,
8.008,-98.13,
8.025,-97.44,
8.041,-96.68,
8.058,-95.91,
8.075,-95.10,
8.091,-94.26,
8.108,-93.34,
8.125,-92.41,
8.141,-91.47,
8.158,-90.57,
8.175,-89.62,
8.192,-88.64,
8.208,-87.72,
8.225,-86.80,
8.242,-85.93,
8.258,-85.09,
8.275,-84.23,
8.292,-83.48,
8.308,-82.78,
8.325,-82.17,
8.342,-81.51,
8.358,-81.00,
8.375,-80.53,
8.392,-80.21,
8.408,-79.89,
8.425,-79.67,
8.442,-79.63,
8.458,-79.63,
8.475,-79.64,
8.492,-79.83,
8.509,-80.10,
8.525,-80.51,
8.542,-80.93,
8.559,-81.50,
8.575,-82.13,
8.592,-82.75,
8.609,-83.55,
8.625,-84.29,
8.642,-85.22,
8.659,-86.11,
8.675,-87.07,
8.692,-88.03,
8.709,-88.89,
8.725,-89.94,
8.742,-90.91,
8.759,-91.84,
8.775,-92.82,
8.792,-93.72,
8.809,-94.60,
8.825,-95.45,
8.842,-96.30,
8.859,-97.03,
8.876,-97.72,
8.892,-98.39,
8.909,-98.96,
8.926,-99.48,
8.942,-99.93,
8.959,-100.3,
8.976,-100.6,
8.992,-100.8,
9.009,-100.9,
9.026,-100.9,
9.042,-100.9,
9.059,-100.8,
9.076,-100.6,
9.092,-100.4,
9.109,-100.0,
9.126,-99.65,
9.142,-99.27,
9.159,-98.78,
9.176,-98.19,
9.193,-97.57,
9.209,-96.88,
9.226,-96.19,
9.243,-95.41,
9.259,-94.60,
9.276,-93.72,
9.293,-92.84,
9.309,-91.97,
9.326,-91.08,
9.343,-90.16,
9.359,-89.22,
9.376,-88.36,
9.393,-87.45,
9.409,-86.57,
9.426,-85.75,
9.443,-84.88,
9.459,-84.10,
9.476,-83.41,
9.493,-82.70,
9.510,-82.09,
9.526,-81.56,
9.543,-81.05,
9.560,-80.66,
9.576,-80.29,
9.593,-80.05,
9.610,-79.94,
9.626,-79.92,
9.643,-79.91,
9.660,-80.03,
9.676,-80.25,
9.693,-80.58,
9.710,-81.00,
9.726,-81.50,
9.743,-82.03,
9.760,-82.67,
9.776,-83.38,
9.793,-84.06,
9.810,-84.93,
9.826,-85.78,
9.843,-86.66,
9.860,-87.57,
9.877,-88.46,
9.893,-89.48,
9.910,-90.38,
9.927,-91.32,
9.943,-92.19,
9.960,-93.08,
9.977,-93.99,
9.993,-94.81,
10.010,-95.64,
10.027,-96.36,
10.043,-97.11,
10.060,-97.80,
10.077,-98.36,
10.093,-98.91,
10.110,-99.38,
10.127,-99.76,
10.143,-100.1,
10.160,-100.4,
10.177,-100.5,
10.194,-100.6,
10.210,-100.6,
10.227,-100.6,
10.244,-100.5,
10.260,-100.2,
10.277,-99.99,
10.294,-99.69,
10.310,-99.29,
10.327,-98.83,
10.344,-98.35,
10.360,-97.76,
10.377,-97.13,
10.394,-96.44,
10.410,-95.70,
10.427,-94.93,
10.444,-94.14,
10.460,-93.33,
10.477,-92.50,
10.494,-91.62,
10.511,-90.73,
10.527,-89.79,
10.544,-88.93,
10.561,-88.02,
10.577,-87.21,
10.594,-86.33,
10.611,-85.52,
10.627,-84.74,
10.644,-84.00,
10.661,-83.32,
10.677,-82.70,
10.694,-82.10,
10.711,-81.64,
10.727,-81.21,
10.744,-80.86,
10.761,-80.56,
10.777,-80.42,
10.794,-80.33,
10.811,-80.35,
10.827,-80.40,
10.844,-80.59,
10.861,-80.86,
10.878,-81.19,
10.894,-81.60,
10.911,-82.11,
10.928,-82.62,
10.944,-83.31,
10.961,-83.98,
10.978,-84.76,
10.994,-85.51,
11.011,-86.38,
11.028,-87.22,
11.044,-88.09,
11.061,-88.96,
11.078,-89.90,
11.094,-90.74,
11.111,-91.66,
11.128,-92.53,
11.144,-93.40,
11.161,-94.21,
11.178,-95.01,
11.195,-95.78,
11.211,-96.49,
11.228,-97.12,
11.245,-97.74,
11.261,-98.26,
11.278,-98.26,
11.295,-98.77,
11.311,-99.15,
11.328,-99.53,
11.345,-99.82,
11.361,-100.0,
11.378,-100.2,
11.395,-100.2,
11.411,-100.2,
11.428,-100.2,
11.445,-100.1,
11.461,-99.83,
11.478,-99.56,
11.495,-99.20,
11.512,-98.81,
11.528,-98.34,
11.545,-97.82,
11.562,-97.23,
11.578,-96.58,
11.595,-95.95,
11.612,-95.26,
11.628,-94.46,
11.645,-93.63,
11.662,-92.85,
11.678,-91.98,
11.695,-91.16,
11.712,-90.27,
11.728,-89.43,
11.745,-88.55,
11.762,-87.68,
11.778,-86.85,
11.795,-86.06,
11.812,-85.32,
11.828,-84.60,
11.845,-83.92,
11.862,-83.32,
11.879,-82.71,
11.895,-82.20,
11.912,-81.75,
11.929,-81.36,
11.945,-81.08,
11.962,-80.85,
11.979,-80.74,
11.995,-80.74,
12.012,-80.75,
12.029,-80.83,
12.045,-81.05,
12.062,-81.36,
12.079,-81.74,
12.095,-82.18,
12.112,-82.71,
12.129,-83.31,
12.145,-83.92,
12.162,-84.67,
12.179,-85.37,
12.196,-86.22,
12.212,-86.98,
12.229,-87.81,
12.246,-88.64,
12.262,-89.56,
12.279,-90.44,
12.296,-91.26,
12.312,-92.11,
12.329,-92.98,
12.346,-93.76,
12.362,-94.54,
12.379,-95.29,
12.396,-95.99,
12.412,-96.62,
12.429,-97.23,
12.446,-97.80,
12.462,-98.29,
12.479,-98.72,
12.496,-99.06,
12.513,-99.36,
12.529,-99.58,
12.546,-99.76,
12.563,-99.85,
12.579,-99.91,
12.596,-99.87,
12.613,-99.81,
12.629,-99.61,
12.646,-99.36,
12.663,-99.10,
12.679,-98.76,
12.696,-98.35,
12.713,-97.85,
12.729,-97.33,
12.746,-96.75,
12.763,-96.11,
12.779,-95.42,
12.796,-94.71,
12.813,-93.99,
12.829,-93.23,
12.846,-92.41,
12.863,-91.58,
12.880,-90.75,
12.896,-89.93,
12.913,-89.07,
12.930,-88.26,
12.946,-87.38,
12.963,-86.63,
12.980,-85.88,
12.996,-85.16,
13.013,-84.48,
13.030,-83.81,
13.046,-83.21,
13.063,-82.67,
13.080,-82.25,
13.096,-81.87,
13.113,-81.54,
13.130,-81.25,
13.146,-81.13,
13.163,-81.09,
13.180,-81.10,
13.197,-81.15,
13.213,-81.33,
13.230,-81.59,
13.247,-81.89,
13.263,-82.28,
13.280,-82.74,
13.297,-83.30,
13.313,-83.91,
13.330,-84.55,
13.347,-85.23,
13.363,-85.96,
13.380,-86.72,
13.397,-87.53,
13.413,-88.33,
13.430,-89.17,
13.447,-89.97,
13.463,-90.83,
13.480,-91.67,
13.497,-92.45,
13.514,-93.23,
13.530,-94.03,
13.547,-94.76,
13.564,-95.40,
13.580,-96.11,
13.597,-96.69,
13.614,-97.26,
13.630,-97.79,
13.647,-98.25,
13.664,-98.64,
13.680,-99.01,
13.697,-99.24,
13.714,-99.40,
13.730,-99.54,
13.747,-99.57,
13.764,-99.56,
13.780,-99.55,
13.797,-99.44,
13.814,-99.21,
13.830,-98.99,
13.847,-98.66,
13.864,-98.31,
13.881,-97.87,
13.897,-97.39,
13.914,-96.79,
13.931,-96.24,
13.947,-95.58,
13.964,-94.87,
13.981,-94.19,
13.997,-93.49,
14.014,-92.65,
14.031,-91.89,
14.047,-91.09,
14.064,-90.29,
14.081,-89.45,
14.097,-88.67,
14.114,-87.89,
14.131,-87.07,
14.147,-86.35,
14.164,-85.62,
14.181,-84.89,
14.198,-84.25,
14.214,-83.71,
14.231,-83.18,
14.248,-82.70,
14.264,-82.26,
14.281,-81.92,
14.298,-81.66,
14.314,-81.48,
14.331,-81.39,
14.348,-81.38,
14.364,-81.38,
14.381,-81.50,
14.398,-81.74,
14.414,-81.96,
14.431,-82.33,
14.448,-82.73,
14.464,-83.25,
14.481,-83.79,
14.498,-84.39,
14.515,-85.01,
14.531,-85.70,
14.548,-86.46,
14.565,-87.22,
14.581,-87.97,
14.598,-88.74,
14.615,-89.53,
14.631,-90.32,
14.648,-91.13,
14.665,-91.93,
14.681,-92.73,
14.698,-93.48,
14.715,-94.20,
14.731,-94.92,
14.748,-95.59,
14.765,-96.20,
14.781,-96.75,
14.798,-97.29,
14.815,-97.73,
14.831,-98.18,
14.848,-98.51,
14.865,-98.81,
14.882,-99.05,
14.898,-99.20,
14.915,-99.31,
14.932,-99.32,
14.948,-99.32,
14.965,-99.28,
14.982,-99.14,
14.998,-98.91,
15.015,-98.64,
15.032,-98.30,
15.048,-97.90,
15.065,-97.46,
15.082,-96.94,
15.098,-96.43,
15.115,-95.81,
15.132,-95.17,
15.148,-94.48,
15.165,-93.77,
15.182,-93.04,
15.199,-92.25,
15.215,-91.48,
15.232,-90.70,
15.249,-89.90,
15.265,-89.16,
15.282,-88.33,
15.299,-87.57,
15.315,-86.83,
15.332,-86.12,
15.349,-85.41,
15.365,-84.84,
15.382,-84.24,
15.399,-83.72,
15.415,-83.20,
15.432,-82.75,
15.449,-82.43,
15.465,-82.14,
15.482,-81.92,
15.499,-81.77,
15.516,-81.69,
15.532,-81.70,
15.549,-81.78,
15.566,-81.92,
15.582,-82.21,
15.599,-82.52,
15.616,-82.86,
15.632,-83.28,
15.649,-83.78,
15.666,-84.32,
15.682,-84.96,
15.699,-85.56,
15.716,-86.25,
15.732,-86.99,
15.749,-87.73,
15.766,-88.48,
15.782,-89.27,
15.799,-90.02,
15.816,-90.78,
15.832,-91.52,
15.849,-92.28,
15.866,-92.97,
15.883,-93.70,
15.899,-94.40,
15.916,-95.02,
15.933,-95.61,
15.949,-96.21,
15.966,-96.76,
15.983,-97.24,
15.999,-97.67,
16.016,-98.05,
16.033,-98.37,
16.049,-98.64,
16.066,-98.83,
16.083,-98.96,
16.099,-99.05,
16.116,-99.04,
16.133,-99.00,
16.149,-98.87,
16.166,-98.68,
16.183,-98.45,
16.200,-98.19,
16.216,-97.82,
16.233,-97.43,
16.250,-96.95,
16.266,-96.45,
16.283,-95.88,
16.300,-95.28,
16.316,-94.64,
16.333,-93.95,
16.350,-93.28,
16.366,-92.57,
16.383,-91.81,
16.400,-91.05,
16.416,-90.26,
16.433,-89.48,
16.450,-88.71,
16.466,-87.98,
16.483,-87.25,
16.500,-86.49,
16.517,-85.89,
16.533,-85.29,
16.550,-84.66,
16.567,-84.09,
16.583,-83.62,
16.600,-83.17,
16.617,-82.81,
16.633,-82.49,
16.650,-82.26,
16.667,-82.10,
16.683,-82.01,
16.700,-81.98,
16.717,-82.02,
16.733,-82.12,
16.750,-82.34,
16.767,-82.60,
16.783,-82.95,
16.800,-83.32,
16.817,-83.78,
16.833,-84.30,
16.850,-84.84,
16.867,-85.42,
16.884,-86.06,
16.900,-86.76,
16.917,-87.46,
16.934,-88.13,
16.950,-88.87,
16.967,-89.64,
16.984,-90.38,
17.000,-91.13,
17.017,-91.84,
17.034,-92.56,
17.050,-93.26,
17.067,-93.94,
17.084,-94.59,
17.100,-95.23,
17.117,-95.86,
17.134,-96.42,
17.150,-96.82,
17.167,-97.29,
17.184,-97.70,
17.201,-98.01,
17.217,-98.31,
17.234,-98.53,
17.251,-98.70,
17.267,-98.80,
17.284,-98.82,
17.301,-98.81,
17.317,-98.78,
17.334,-98.60,
17.351,-98.41,
17.367,-98.13,
17.384,-97.81,
17.401,-97.45,
17.417,-97.03,
17.434,-96.56,
17.451,-96.02,
17.467,-95.44,
17.484,-94.85,
17.501,-94.26,
17.518,-93.53,
17.534,-92.83,
17.551,-92.12,
17.568,-91.40,
17.584,-90.65,
17.601,-89.89,
17.618,-89.15,
17.634,-88.42,
17.651,-87.69,
17.668,-87.01,
17.684,-86.33,
17.701,-85.71,
17.718,-85.09,
17.734,-84.56,
17.751,-84.07,
17.768,-83.61,
17.784,-83.23,
17.801,-82.89,
17.818,-82.65,
17.834,-82.44,
17.851,-82.34,
17.868,-82.28,
17.885,-82.28,
17.901,-82.36,
17.918,-82.49,
17.935,-82.71,
17.951,-83.01,
17.968,-83.38,
17.985,-83.76,
18.001,-84.26,
18.018,-84.74,
18.035,-85.32,
18.051,-85.93,
18.068,-86.56,
18.085,-87.20,
18.101,-87.88,
18.118,-88.58,
18.135,-89.27,
18.151,-90.01,
18.168,-90.72,
18.185,-91.42,
18.202,-92.16,
18.218,-92.85,
18.235,-93.57,
18.252,-94.21,
18.268,-94.80,
18.285,-95.35,
18.302,-95.93,
18.318,-96.39,
18.335,-96.89,
18.352,-97.30,
18.368,-97.67,
18.385,-97.96,
18.402,-98.17,
18.418,-98.40,
18.435,-98.54,
18.452,-98.60,
18.468,-98.59,
18.485,-98.58,
18.502,-98.47,
18.519,-98.29,
18.535,-98.07,
18.552,-97.78,
18.569,-97.40,
18.585,-97.01,
18.602,-96.54,
18.619,-96.06,
18.635,-95.51,
18.652,-94.92,
18.669,-94.35,
18.685,-93.70,
18.702,-93.01,
18.719,-92.29,
18.735,-91.61,
18.752,-90.88,
18.769,-90.17,
18.785,-89.47,
18.802,-88.73,
18.819,-88.04,
18.835,-87.37,
18.852,-86.72,
18.869,-86.10,
18.886,-85.51,
18.902,-84.98,
18.919,-84.50,
18.936,-84.04,
18.952,-83.69,
18.969,-83.37,
18.986,-83.06,
19.002,-82.87,
19.019,-82.72,
19.036,-82.64,
19.052,-82.63,
19.069,-82.66,
19.086,-82.78,
19.102,-82.93,
19.119,-83.21,
19.136,-83.55,
19.152,-83.91,
19.169,-84.33,
19.186,-84.79,
19.203,-85.32,
19.219,-85.91,
19.236,-86.52,
19.253,-87.11,
19.269,-87.73,
19.286,-88.41,
19.303,-89.12,
19.319,-89.73,
19.336,-90.49,
19.353,-91.18,
19.369,-91.89,
19.386,-92.50,
19.403,-93.23,
19.419,-93.88,
19.436,-94.45,
19.453,-95.03,
19.469,-95.58,
19.486,-96.11,
19.503,-96.58,
19.520,-96.97,
19.536,-97.34,
19.553,-97.66,
19.570,-97.93,
19.586,-98.10,
19.603,-98.21,
19.620,-98.31,
19.636,-98.32,
19.653,-98.33,
19.670,-98.23,
19.686,-98.07,
19.703,-97.89,
19.720,-97.64,
19.736,-97.36,
19.753,-96.93,
19.770,-96.58,
19.786,-96.07,
19.803,-95.58,
19.820,-95.04,
19.836,-94.50,
19.853,-93.84,
19.870,-93.18,
19.887,-92.56,
19.903,-91.86,
19.920,-91.14,
19.937,-90.46,
19.953,-89.78,
19.970,-89.10,
19.987,-88.40,
20.003,-87.70,
20.020,-87.08,
20.037,-86.47,
20.053,-85.88,
20.070,-85.37,
20.087,-84.89,
20.103,-84.42,
20.120,-84.05,
20.137,-83.71,
20.153,-83.44,
20.170,-83.20,
20.187,-83.06,
20.204,-82.97,
20.220,-82.94,
20.237,-83.00,
20.254,-83.05,
20.270,-83.22,
20.287,-83.41,
20.304,-83.67,
20.320,-84.07,
20.337,-84.44,
20.354,-84.88,
20.370,-85.34,
20.387,-85.84,
20.404,-86.40,
20.420,-86.98,
20.437,-87.58,
20.454,-88.23,
20.470,-88.86,
20.487,-89.54,
20.504,-90.25,
20.521,-90.86,
20.537,-91.53,
20.554,-92.19,
20.571,-92.85,
20.587,-93.51,
20.604,-94.09,
20.621,-94.68,
20.637,-95.19,
20.654,-95.72,
20.671,-96.16,
20.687,-96.60,
20.704,-96.98,
20.721,-97.31,
20.737,-97.57,
20.754,-97.79,
20.771,-97.98,
20.787,-98.11,
20.804,-98.11,
20.821,-98.11,
20.837,-98.07,
20.854,-97.92,
20.871,-97.72,
20.888,-97.49,
20.904,-97.20,
20.921,-96.85,
20.938,-96.48,
20.954,-96.04,
20.971,-95.54,
20.988,-95.02,
21.004,-94.47,
21.021,-93.87,
21.038,-93.23,
21.054,-92.62,
21.071,-91.94,
21.088,-91.31,
21.104,-90.64,
21.121,-89.98,
21.138,-89.36,
21.154,-88.69,
21.171,-88.02,
21.188,-87.41,
21.205,-86.82,
21.221,-86.26,
21.238,-85.73,
21.255,-85.28,
21.271,-84.78,
21.288,-84.42,
21.305,-84.11,
21.321,-83.79,
21.338,-83.55,
21.355,-83.37,
21.371,-83.24,
21.388,-83.19,
21.405,-83.19,
21.421,-83.24,
21.438,-83.36,
21.455,-83.55,
21.471,-83.79,
21.488,-84.06,
21.505,-84.41,
21.522,-84.83,
21.538,-85.28,
21.555,-85.73,
21.572,-86.23,
21.588,-86.83,
21.605,-87.40,
21.622,-88.03,
21.638,-88.70,
21.655,-89.28,
21.672,-89.95,
21.688,-90.59,
21.705,-91.24,
21.722,-91.90,
21.738,-92.53,
21.755,-93.17,
21.772,-93.74,
21.788,-94.28,
21.805,-94.79,
21.822,-95.31,
21.838,-95.81,
21.855,-96.22,
21.872,-96.64,
21.889,-96.96,
21.905,-97.24,
21.922,-97.50,
21.939,-97.67,
21.955,-97.79,
21.972,-97.85,
21.989,-97.86,
22.005,-97.86,
22.022,-97.78,
22.039,-97.58,
22.055,-97.36,
22.072,-97.10,
22.089,-96.77,
22.105,-96.42,
22.122,-96.01,
22.139,-95.53,
22.155,-95.10,
22.172,-94.60,
22.189,-94.03,
22.206,-93.44,
22.222,-92.84,
22.239,-92.25,
22.256,-91.59,
22.272,-90.94,
22.289,-90.31,
22.306,-89.62,
22.322,-88.99,
22.339,-88.40,
22.356,-87.77,
22.372,-87.22,
22.389,-86.63,
22.406,-86.13,
22.422,-85.62,
22.439,-85.19,
22.456,-84.81,
22.472,-84.46,
22.489,-84.11,
22.506,-83.89,
22.523,-83.71,
22.539,-83.55,
22.556,-83.50,
22.573,-83.51,
22.589,-83.52,
22.606,-83.61,
22.623,-83.75,
22.639,-83.94,
22.656,-84.21,
22.673,-84.50,
22.689,-84.86,
22.706,-85.29,
22.723,-85.71,
22.739,-86.25,
22.756,-86.77,
22.773,-87.32,
22.789,-87.86,
22.806,-88.48,
22.823,-89.09,
22.839,-89.70,
22.856,-90.33,
22.873,-90.97,
22.890,-91.59,
22.906,-92.23,
22.923,-92.82,
22.940,-93.40,
22.956,-93.99,
22.973,-94.53,
22.990,-95.04,
23.006,-95.54,
23.023,-95.98,
23.040,-96.37,
23.056,-96.68,
23.073,-96.98,
23.090,-97.24,
23.106,-97.44,
23.123,-97.59,
23.140,-97.65,
23.156,-97.70,
23.173,-97.70,
23.190,-97.62,
23.207,-97.46,
23.223,-97.29,
23.240,-97.06,
23.257,-96.78,
23.273,-96.46,
23.290,-96.08,
23.307,-95.65,
