,mass A,
t,θr,
0.000,-76.62,
0.017,-76.60,
0.033,-76.59,
0.050,-76.59,
0.067,-76.60,
0.083,-76.59,
0.100,-76.59,
0.117,-76.58,
0.133,-76.58,
0.150,-76.59,
0.167,-76.59,
0.184,-76.61,
0.200,-76.63,
0.217,-76.73,
0.234,-76.96,
0.250,-77.33,
0.267,-77.71,
0.284,-78.24,
0.300,-78.88,
0.317,-79.59,
0.334,-80.36,
0.350,-81.23,
0.367,-82.19,
0.384,-83.22,
0.400,-84.31,
0.417,-85.39,
0.434,-86.54,
0.450,-87.75,
0.467,-88.95,
0.484,-90.25,
0.501,-91.42,
0.517,-92.66,
0.534,-93.85,
0.551,-95.03,
0.567,-96.15,
0.584,-97.26,
0.601,-98.32,
0.617,-99.31,
0.634,-100.3,
0.651,-101.1,
0.667,-101.8,
0.684,-102.6,
0.701,-103.1,
0.717,-103.6,
0.734,-104.0,
0.751,-104.3,
0.767,-104.5,
0.784,-104.5,
0.801,-104.5,
0.817,-104.3,
0.834,-104.1,
0.851,-103.7,
0.868,-103.2,
0.884,-102.7,
0.901,-102.0,
0.918,-101.2,
0.934,-100.4,
0.951,-99.51,
0.968,-98.52,
0.984,-97.52,
1.001,-96.38,
1.018,-95.23,
1.034,-94.06,
1.051,-92.86,
1.068,-91.68,
1.084,-90.50,
1.101,-89.27,
1.118,-88.06,
1.134,-86.86,
1.151,-85.72,
1.168,-84.60,
1.185,-83.58,
1.201,-82.56,
1.218,-81.64,
1.235,-80.77,
1.251,-79.97,
1.268,-79.32,
1.285,-78.69,
1.301,-78.21,
1.318,-77.77,
1.335,-77.43,
1.351,-77.23,
1.368,-77.14,
1.385,-77.15,
1.401,-77.24,
1.418,-77.47,
1.435,-77.80,
1.451,-78.21,
1.468,-78.74,
1.485,-79.35,
1.502,-80.08,
1.518,-80.83,
1.535,-81.68,
1.552,-82.64,
1.568,-83.69,
1.585,-84.70,
1.602,-85.78,
1.618,-86.92,
1.635,-88.06,
1.652,-89.28,
1.668,-90.42,
1.685,-91.61,
1.702,-92.89,
1.718,-94.05,
1.735,-95.15,
1.752,-96.27,
1.768,-97.36,
1.785,-98.27,
1.802,-99.23,
1.818,-100.1,
1.835,-100.9,
1.852,-101.6,
1.869,-102.2,
1.885,-102.7,
1.902,-103.2,
