,mass A,
t,θr,
5.326,-99.15,
5.342,-99.33,
5.359,-99.46,
5.376,-99.54,
5.393,-99.59,
5.409,-99.59,
5.426,-99.56,
5.443,-99.49,
5.460,-99.37,
5.476,-99.23,
5.493,-99.04,
5.510,-98.80,
5.527,-98.54,
5.543,-98.23,
5.560,-97.89,
5.577,-97.51,
5.594,-97.10,
5.610,-96.69,
5.627,-96.23,
5.644,-95.74,
5.661,-95.25,
5.677,-94.74,
5.694,-94.21,
5.711,-93.64,
5.727,-93.10,
5.744,-92.52,
5.761,-91.95,
5.778,-91.37,
5.794,-90.79,
5.811,-90.20,
5.828,-89.62,
5.845,-89.05,
5.861,-88.49,
5.878,-87.94,
5.895,-87.40,
5.912,-86.88,
5.928,-86.39,
5.945,-85.90,
5.962,-85.44,
5.979,-85.02,
5.995,-84.61,
6.012,-84.25,
6.029,-83.91,
6.046,-83.59,
6.062,-83.29,
6.079,-83.04,
6.096,-82.85,
6.113,-82.68,
6.129,-82.53,
6.146,-82.42,
6.163,-82.37,
6.180,-82.36,
6.196,-82.37,
6.213,-82.42,
6.230,-82.52,
6.247,-82.64,
6.263,-82.81,
6.280,-83.02,
6.297,-83.26,
6.314,-83.54,
6.330,-83.84,
6.347,-84.19,
6.364,-84.55,
6.381,-84.95,
6.397,-85.37,
6.414,-85.81,
6.431,-86.79,
6.448,-87.30,
6.464,-87.82,
6.481,-88.38,
6.498,-88.94,
6.515,-89.51,
6.531,-90.08,
6.548,-90.66,
6.565,-91.24,
6.582,-91.80,
6.598,-92.37,
6.615,-92.93,
6.632,-93.48,
6.649,-94.01,
6.665,-94.54,
6.682,-95.04,
6.699,-95.53,
6.716,-96.02,
6.732,-96.46,
6.749,-96.88,
6.766,-97.27,
6.783,-97.63,
6.799,-97.94,
6.816,-98.23,
6.833,-98.46,
6.850,-98.69,
6.866,-98.88,
6.883,-99.01,
6.900,-99.10,
6.917,-99.15,
6.933,-99.17,
6.950,-99.16,
6.967,-99.11,
6.984,-99.00,
7.000,-98.83,
7.017,-98.65,
7.034,-98.45,
7.051,-98.19,
7.067,-97.89,
7.084,-97.57,
7.101,-97.24,
7.117,-96.87,
7.134,-96.42,
7.151,-96.00,
7.168,-95.53,
7.184,-95.07,
7.201,-94.58,
7.218,-94.06,
7.235,-93.53,
7.251,-92.99,
7.268,-92.44,
7.285,-91.87,
7.302,-91.30,
7.318,-90.74,
7.335,-90.18,
7.352,-89.63,
7.369,-89.08,
7.385,-88.52,
7.402,-87.98,
7.419,-87.46,
7.436,-86.99,
7.452,-86.50,
7.469,-86.04,
7.486,-85.59,
7.503,-85.18,
7.519,-84.79,
7.536,-84.43,
7.553,-84.11,
7.570,-83.80,
7.586,-83.55,
7.603,-83.30,
7.620,-83.11,
7.637,-82.93,
7.653,-82.82,
7.670,-82.73,
7.687,-82.68,
7.704,-82.65,
7.720,-82.66,
7.737,-82.68,
7.754,-82.79,
7.771,-82.91,
7.787,-83.09,
7.804,-83.28,
7.821,-83.52,
7.838,-83.78,
7.854,-84.08,
7.871,-84.40,
7.888,-84.76,
7.905,-85.13,
7.921,-85.55,
7.938,-85.99,
7.955,-86.42,
7.972,-86.92,
7.988,-87.42,
8.005,-87.91,
8.022,-88.44,
8.039,-88.98,
8.055,-89.52,
8.072,-90.06,
8.089,-90.61,
8.106,-91.17,
8.122,-91.72,
8.139,-92.27,
8.156,-92.82,
8.173,-93.37,
8.189,-93.87,
8.206,-94.37,
8.223,-94.86,
8.240,-95.35,
8.256,-95.80,
8.273,-96.23,
8.290,-96.62,
8.307,-96.98,
8.323,-97.32,
8.340,-97.61,
8.357,-97.89,
8.374,-98.15,
8.390,-98.37,
8.407,-98.54,
8.424,-98.67,
8.441,-98.75,
8.457,-98.82,
8.474,-98.85,
8.491,-98.84,
8.508,-98.81,
8.524,-98.69,
8.541,-98.57,
8.558,-98.40,
8.574,-98.19,
8.591,-97.96,
8.608,-97.66,
8.625,-97.34,
8.641,-97.01,
8.658,-96.65,
8.675,-96.25,
8.692,-95.85,
8.708,-95.39,
8.725,-94.92,
8.742,-94.44,
8.759,-93.93,
8.775,-93.41,
8.792,-92.88,
8.809,-92.35,
8.826,-91.81,
8.842,-91.28,
8.859,-90.74,
8.876,-90.19,
8.893,-89.66,
8.909,-89.12,
8.926,-88.61,
8.943,-88.09,
8.960,-87.58,
8.976,-87.09,
8.993,-86.65,
9.010,-86.21,
9.027,-85.80,
9.043,-85.40,
9.060,-85.02,
9.077,-84.68,
9.094,-84.35,
9.110,-84.07,
9.127,-83.82,
9.144,-83.61,
9.161,-83.42,
9.177,-83.27,
9.194,-83.16,
9.211,-83.07,
9.228,-83.03,
9.244,-83.02,
9.261,-83.01,
9.278,-83.07,
9.295,-83.16,
9.311,-83.28,
9.328,-83.44,
9.345,-83.63,
9.362,-83.85,
9.378,-84.10,
9.395,-84.39,
9.412,-84.70,
9.429,-85.05,
9.445,-85.40,
9.462,-85.78,
9.479,-86.20,
9.496,-86.64,
9.512,-87.10,
9.529,-87.58,
9.546,-88.06,
9.563,-88.56,
9.579,-89.07,
9.596,-89.59,
9.613,-90.12,
9.630,-90.64,
9.646,-91.17,
9.663,-91.70,
9.680,-92.23,
9.697,-92.74,
9.713,-93.24,
9.730,-93.73,
9.747,-94.23,
9.764,-94.70,
9.780,-95.15,
9.797,-95.57,
9.814,-95.97,
9.831,-96.38,
9.847,-96.72,
9.864,-97.05,
9.881,-97.35,
9.898,-97.62,
9.914,-97.86,
9.931,-98.06,
9.948,-98.23,
9.964,-98.39,
9.981,-98.47,
9.998,-98.54,
10.015,-98.55,
10.031,-98.54,
10.048,-98.51,
10.065,-98.39,
10.082,-98.28,
10.098,-98.12,
10.115,-97.93,
10.132,-97.70,
10.149,-97.44,
10.165,-97.15,
10.182,-96.83,
10.199,-96.48,
10.216,-96.10,
10.232,-95.71,
10.249,-95.26,
10.266,-94.81,
10.283,-94.35,
10.299,-93.87,
10.316,-93.36,
10.333,-92.85,
10.350,-92.34,
10.366,-91.80,
10.383,-91.28,
10.400,-90.76,
10.417,-90.23,
10.433,-89.70,
10.450,-89.18,
10.467,-88.68,
10.484,-88.19,
10.500,-87.70,
10.517,-87.23,
10.534,-86.78,
10.551,-86.37,
10.567,-85.95,
10.584,-85.55,
10.601,-85.21,
10.618,-84.86,
10.634,-84.57,
10.651,-84.30,
10.668,-84.06,
10.685,-83.84,
10.701,-83.67,
10.718,-83.50,
10.735,-83.39,
10.752,-83.33,
10.768,-83.26,
10.785,-83.27,
10.802,-83.29,
10.819,-83.32,
10.835,-83.42,
10.852,-83.53,
10.869,-83.68,
10.886,-83.88,
10.902,-84.08,
10.919,-84.34,
10.936,-84.60,
10.953,-85.24,
10.969,-85.59,
10.986,-85.96,
11.003,-86.34,
11.020,-86.77,
11.036,-87.22,
11.053,-87.67,
11.070,-88.15,
11.087,-88.64,
11.103,-89.11,
11.120,-89.61,
11.137,-90.13,
11.154,-90.64,
11.170,-91.13,
11.187,-91.64,
11.204,-92.15,
11.221,-92.66,
11.237,-93.13,
11.254,-93.60,
11.271,-94.06,
11.288,-94.52,
11.304,-94.95,
11.321,-95.36,
11.338,-95.75,
11.355,-96.14,
11.371,-96.48,
11.388,-96.79,
11.405,-97.09,
11.421,-97.36,
11.438,-97.59,
11.455,-97.79,
11.472,-97.95,
11.488,-98.08,
11.505,-98.18,
11.522,-98.22,
11.539,-98.24,
11.555,-98.24,
11.572,-98.24,
11.589,-98.15,
11.606,-98.02,
11.622,-97.89,
11.639,-97.72,
11.656,-97.50,
11.673,-97.26,
11.689,-96.97,
11.706,-96.65,
11.723,-96.33,
11.740,-95.96,
11.756,-95.57,
11.773,-95.16,
11.790,-94.73,
11.807,-94.26,
11.823,-93.80,
11.840,-93.30,
11.857,-92.83,
11.874,-92.34,
11.890,-91.82,
11.907,-91.34,
11.924,-90.81,
11.941,-90.30,
11.957,-89.80,
11.974,-89.30,
11.991,-88.79,
12.008,-88.32,
12.024,-87.84,
12.041,-87.38,
12.058,-86.94,
12.075,-86.51,
12.091,-86.12,
12.108,-85.73,
12.125,-85.37,
12.142,-85.05,
12.158,-84.75,
12.175,-84.48,
12.192,-84.24,
12.209,-84.02,
12.225,-83.84,
12.242,-83.70,
12.259,-83.59,
12.276,-83.51,
12.292,-83.46,
12.309,-83.44,
12.326,-83.44,
12.343,-83.48,
12.359,-83.59,
12.376,-83.71,
12.393,-83.87,
12.410,-84.06,
12.426,-84.28,
12.443,-84.52,
12.460,-84.80,
12.477,-85.09,
12.493,-85.41,
12.510,-85.77,
12.527,-86.14,
12.544,-86.54,
12.560,-86.94,
12.577,-87.36,
12.594,-87.81,
12.611,-88.26,
12.627,-88.72,
12.644,-89.20,
12.661,-89.67,
12.678,-90.15,
12.694,-90.65,
12.711,-91.12,
12.728,-91.60,
12.745,-92.10,
12.761,-92.57,
12.778,-93.03,
12.795,-93.47,
12.811,-93.92,
12.828,-94.35,
12.845,-94.77,
12.862,-95.17,
12.878,-95.54,
12.895,-95.90,
12.912,-96.23,
12.929,-96.54,
12.945,-96.83,
12.962,-97.07,
12.979,-97.30,
12.996,-97.49,
13.012,-97.64,
13.029,-97.77,
13.046,-97.85,
13.063,-97.90,
13.079,-97.93,
13.096,-97.94,
13.113,-97.92,
13.130,-97.84,
13.146,-97.73,
13.163,-97.57,
13.180,-97.42,
13.197,-97.20,
13.213,-96.96,
13.230,-96.68,
13.247,-96.39,
13.264,-96.07,
13.280,-95.71,
13.297,-95.36,
13.314,-94.95,
13.331,-94.53,
13.347,-94.12,
13.364,-93.67,
13.381,-93.22,
13.398,-92.74,
13.414,-92.27,
13.431,-91.80,
13.448,-91.28,
13.465,-90.81,
13.481,-90.31,
13.498,-89.82,
13.515,-89.34,
13.532,-88.85,
13.548,-88.38,
13.565,-87.92,
13.582,-87.48,
13.599,-87.06,
13.615,-86.65,
13.632,-86.27,
13.649,-85.91,
13.666,-85.56,
13.682,-85.24,
13.699,-84.96,
13.716,-84.71,
13.733,-84.46,
13.749,-84.26,
13.766,-84.07,
13.783,-83.92,
13.800,-83.82,
13.816,-83.73,
13.833,-83.71,
13.850,-83.68,
13.867,-83.68,
13.883,-83.72,
13.900,-83.83,
13.917,-83.94,
13.934,-84.11,
13.950,-84.29,
13.967,-84.50,
13.984,-84.73,
14.001,-85.01,
14.017,-85.29,
14.034,-85.59,
14.051,-85.90,
14.068,-86.28,
14.084,-86.64,
14.101,-87.06,
14.118,-87.45,
14.135,-87.90,
14.151,-88.33,
14.168,-88.80,
14.185,-89.27,
14.202,-89.73,
14.218,-90.19,
14.235,-90.67,
14.252,-91.13,
14.268,-91.61,
14.285,-92.08,
14.302,-92.55,
14.319,-93.00,
14.335,-93.43,
14.352,-93.86,
14.369,-94.28,
14.386,-94.66,
14.402,-95.05,
14.419,-95.41,
14.436,-95.76,
14.453,-96.08,
14.469,-96.37,
14.486,-96.65,
14.503,-96.90,
14.520,-97.12,
14.536,-97.30,
14.553,-97.44,
14.570,-97.58,
14.587,-97.67,
14.603,-97.73,
14.620,-97.75,
14.637,-97.74,
14.654,-97.71,
14.670,-97.63,
14.687,-97.52,
14.704,-97.38,
14.721,-97.21,
14.737,-97.01,
14.754,-96.79,
14.771,-96.54,
14.788,-96.27,
14.804,-95.96,
14.821,-95.61,
14.838,-95.25,
14.855,-94.86,
14.871,-94.50,
14.888,-94.06,
14.905,-93.63,
14.922,-93.20,
14.938,-92.75,
14.955,-92.29,
14.972,-91.81,
14.989,-91.37,
15.005,-90.88,
15.022,-90.41,
15.039,-89.92,
15.056,-89.46,
15.072,-89.00,
15.089,-88.53,
15.106,-88.08,
15.123,-87.64,
15.139,-87.22,
15.156,-86.83,
15.173,-86.44,
15.190,-86.10,
15.206,-85.77,
15.223,-85.46,
15.240,-85.18,
15.257,-84.92,
15.273,-84.69,
15.290,-84.48,
15.307,-84.30,
15.324,-84.17,
15.340,-84.07,
15.357,-84.01,
