,mass A,
t,θr,
5.168,-80.02
5.185,-79.45
5.202,-78.97
5.218,-78.57
5.235,-78.17
5.252,-77.93
5.269,-77.72
5.285,-77.61
5.302,-77.58
5.319,-77.59
5.335,-77.69
5.352,-77.90
5.369,-78.18
5.386,-78.54
5.402,-78.94
5.419,-79.45
5.436,-80.00
5.453,-80.64
5.469,-81.31
5.486,-82.02
5.503,-82.83
5.519,-83.61
5.536,-84.50
5.553,-85.37
5.570,-86.31
5.586,-87.23
5.603,-88.18
5.620,-89.13
5.636,-90.11
5.653,-91.07
5.670,-92.03
5.687,-92.97
5.703,-93.86
5.720,-94.75
5.737,-95.62
5.754,-96.43
5.770,-97.15
5.787,-97.91
5.804,-98.60
5.820,-99.19
5.837,-99.73
5.854,-100.2
5.871,-100.6
5.887,-101.0
5.904,-101.3
5.921,-101.5
5.938,-101.6
5.954,-101.7
5.971,-101.7
5.988,-101.6
6.004,-101.5
6.021,-101.3
6.038,-101.0
6.055,-100.7
6.071,-100.2
6.088,-99.78
6.105,-99.29
6.122,-98.68
6.138,-98.07
6.155,-97.38
6.172,-96.66
6.188,-95.87
6.205,-95.07
6.222,-94.25
6.239,-93.36
6.255,-92.48
6.272,-91.56
6.289,-90.64
6.306,-89.70
6.322,-88.77
6.339,-87.84
6.356,-86.95
6.372,-86.03
6.389,-85.15
6.406,-84.33
6.423,-83.53
6.439,-82.77
6.456,-82.03
6.473,-81.37
6.489,-80.70
6.506,-80.17
6.523,-79.66
6.540,-79.23
6.556,-78.85
6.573,-78.54
6.590,-78.34
6.607,-78.17
6.623,-78.10
6.640,-78.08
6.657,-78.11
6.673,-78.26
6.690,-78.49
6.707,-78.79
6.724,-79.19
6.740,-79.62
6.757,-80.13
6.774,-80.70
6.791,-81.36
6.807,-82.05
6.824,-82.77
6.841,-83.56
6.857,-84.40
6.874,-85.22
6.891,-86.07
6.908,-86.97
6.924,-87.91
6.941,-88.83
6.958,-89.79
6.975,-90.72
6.991,-91.68
7.008,-92.56
7.025,-93.42
7.041,-94.31
7.058,-95.12
7.075,-95.93
7.092,-96.69
7.108,-97.39
7.125,-98.06
7.142,-98.67
7.159,-99.23
7.175,-99.73
7.192,-100.2
7.209,-100.5
7.225,-100.8
7.242,-101.1
7.259,-101.3
7.276,-101.4
7.292,-101.4
7.309,-101.4
7.326,-101.3
7.342,-101.1
7.359,-100.9
7.376,-100.6
7.393,-100.2
7.409,-99.80
7.426,-99.31
7.443,-98.78
7.460,-98.20
7.476,-97.59
7.493,-96.88
7.510,-96.17
7.526,-95.39
7.543,-94.59
7.560,-93.78
7.577,-92.88
7.593,-91.98
7.610,-91.09
7.627,-90.21
7.644,-89.27
7.660,-88.37
7.677,-87.53
7.694,-86.63
7.710,-85.76
7.727,-84.94
7.744,-84.14
7.761,-83.40
7.777,-82.69
7.794,-81.97
7.811,-81.38
7.828,-80.77
7.844,-80.27
7.861,-79.81
7.878,-79.43
7.894,-79.10
7.911,-78.85
7.928,-78.67
7.945,-78.58
7.961,-78.54
7.978,-78.55
7.995,-78.68
8.012,-78.85
8.028,-79.11
8.045,-79.45
8.062,-79.86
8.078,-80.31
8.095,-80.83
8.112,-81.42
8.129,-82.07
8.145,-82.74
8.162,-83.44
8.179,-84.21
8.195,-85.05
8.212,-85.84
8.229,-86.71
8.246,-87.56
8.262,-88.44
8.279,-89.34
8.296,-90.23
8.313,-91.12
8.329,-92.00
8.346,-92.86
8.363,-93.67
8.379,-94.52
8.396,-95.32
8.413,-96.04
8.430,-96.74
8.446,-97.39
8.463,-97.99
8.480,-98.56
8.497,-99.07
8.513,-99.53
8.530,-99.89
8.547,-100.2
8.563,-100.5
8.580,-100.7
8.597,-100.8
8.614,-100.8
8.630,-100.8
8.647,-100.8
8.664,-100.6
8.681,-100.5
8.697,-100.2
8.714,-99.88
8.731,-99.47
8.747,-99.07
8.764,-98.57
8.781,-98.00
8.798,-97.41
8.814,-96.76
8.831,-96.03
8.848,-95.33
8.865,-94.56
8.881,-93.75
8.898,-92.95
8.915,-92.12
8.931,-91.27
8.948,-90.41
8.965,-89.55
8.982,-88.68
8.998,-87.86
9.015,-87.00
9.032,-86.16
9.048,-85.32
9.065,-84.56
9.082,-83.77
9.099,-83.08
9.115,-82.38
9.132,-81.76
9.149,-81.18
9.166,-80.70
9.182,-80.23
9.199,-79.85
9.216,-79.50
9.232,-79.25
9.249,-79.05
9.266,-78.93
9.283,-78.91
9.299,-78.90
9.316,-78.93
9.333,-79.14
9.350,-79.37
9.366,-79.64
9.383,-80.02
9.400,-80.90
9.416,-81.44
9.433,-82.06
9.450,-82.67
9.467,-83.36
9.483,-84.11
9.500,-84.84
9.517,-85.66
9.534,-85.65
9.550,-86.45
9.567,-87.28
9.584,-88.16
9.600,-88.97
9.617,-89.83
9.634,-90.68
9.651,-91.53
9.667,-92.37
9.684,-93.17
9.701,-93.97
9.718,-94.70
9.734,-95.43
9.751,-96.12
9.768,-96.78
9.784,-97.40
9.801,-97.94
9.818,-98.44
9.835,-98.90
9.851,-99.29
9.868,-99.63
9.885,-100.1
9.901,-100.3
9.918,-100.4
9.935,-100.4
9.952,-100.4
9.968,-100.3
9.985,-100.2
10.002,-99.94
10.019,-99.68
10.035,-99.33
10.052,-98.93
10.069,-98.49
10.085,-97.94
10.102,-97.40
10.119,-96.79
10.136,-96.14
10.152,-95.47
10.169,-94.72
10.186,-93.99
10.203,-93.20
10.219,-92.43
10.236,-91.61
10.253,-90.76
10.269,-89.93
10.286,-89.10
10.303,-88.27
10.320,-87.42
10.336,-86.61
10.353,-85.81
10.370,-85.05
10.387,-84.31
10.403,-83.61
10.420,-82.94
10.437,-82.34
10.453,-81.78
10.470,-81.23
10.487,-80.80
10.504,-80.36
10.520,-80.05
10.537,-79.80
10.554,-79.58
10.571,-79.46
10.587,-79.38
10.604,-79.35
10.621,-79.38
10.637,-79.51
10.654,-79.68
10.671,-79.95
10.688,-80.28
10.704,-80.67
10.721,-81.13
10.738,-81.58
10.754,-82.15
10.771,-82.76
10.788,-83.41
10.805,-84.06
10.821,-84.79
10.838,-85.55
10.855,-86.36
10.872,-87.17
10.888,-87.95
10.905,-88.80
10.922,-89.62
10.938,-90.44
10.955,-91.23
10.972,-92.05
10.989,-92.86
11.005,-93.63
11.022,-94.36
11.039,-95.07
11.056,-95.74
11.072,-96.39
11.089,-97.00
11.106,-97.57
11.122,-98.05
11.139,-98.51
11.156,-98.90
11.173,-99.24
11.189,-99.53
11.206,-99.78
11.223,-99.95
11.240,-100.1
11.256,-100.1
11.273,-100.1
11.290,-100.1
11.306,-99.94
11.323,-99.71
11.340,-99.46
11.357,-99.17
11.373,-98.81
11.390,-98.37
11.407,-97.93
11.424,-97.40
11.440,-96.83
11.457,-96.21
11.474,-95.58
11.490,-94.92
11.507,-94.19
11.524,-93.47
11.541,-92.67
11.557,-91.91
11.574,-91.09
11.591,-90.29
11.607,-89.49
11.624,-88.67
11.641,-87.90
11.658,-87.10
11.674,-86.33
11.691,-85.60
11.708,-84.88
11.725,-84.18
11.741,-83.52
11.758,-82.95
11.775,-82.35
11.791,-81.84
11.808,-81.37
11.825,-80.95
11.842,-80.58
11.858,-80.29
11.875,-80.06
11.892,-79.90
11.909,-79.83
11.925,-79.78
11.942,-79.79
11.959,-79.87
11.975,-80.06
11.992,-80.30
12.009,-80.59
12.026,-80.92
12.042,-81.29
12.059,-81.79
12.076,-82.29
12.093,-82.85
12.109,-83.47
12.126,-84.08
12.143,-84.78
12.159,-85.48
12.176,-86.21
12.193,-86.97
12.210,-87.75
12.226,-88.55
12.243,-89.38
12.260,-90.14
12.277,-90.93
12.293,-91.71
12.310,-92.47
12.327,-93.21
12.343,-93.98
12.360,-94.69
12.377,-95.35
12.394,-95.98
12.410,-96.56
12.427,-97.11
12.444,-97.64
12.460,-98.12
12.477,-98.53
12.494,-98.91
12.511,-99.23
12.527,-99.47
12.544,-99.68
12.561,-99.82
12.578,-99.87
12.594,-99.87
12.611,-99.84
12.628,-99.74
12.644,-99.55
12.661,-99.34
12.678,-99.06
12.695,-98.74
12.711,-98.34
12.728,-97.87
12.745,-97.38
12.762,-96.84
12.778,-96.29
12.795,-95.65
12.812,-94.99
12.828,-94.31
12.845,-93.62
12.862,-92.87
12.879,-92.12
12.895,-91.37
12.912,-90.59
12.929,-89.82
12.946,-89.04
12.962,-88.28
12.979,-87.51
12.996,-86.77
13.012,-86.04
13.029,-85.33
13.046,-84.66
13.063,-84.01
13.079,-83.41
13.096,-82.85
13.113,-82.33
13.130,-81.85
13.146,-81.44
13.163,-81.08
13.180,-80.75
13.196,-80.51
13.213,-80.34
13.230,-80.20
13.247,-80.17
13.263,-80.15
13.280,-80.18
13.297,-80.28
13.313,-80.50
13.330,-80.74
13.347,-81.05
13.364,-81.42
13.380,-81.82
13.397,-82.29
13.414,-82.83
13.431,-83.39
13.447,-84.01
13.464,-84.64
13.481,-85.31
13.497,-86.00
13.514,-86.70
13.531,-87.45
13.548,-88.20
13.564,-88.96
13.581,-89.70
13.598,-90.46
13.615,-91.23
13.631,-91.98
13.648,-92.74
13.665,-93.45
13.681,-94.13
13.698,-94.78
13.715,-95.44
13.732,-96.02
13.748,-96.58
13.765,-97.10
13.782,-97.60
13.799,-98.03
13.815,-98.36
13.832,-98.70
13.849,-99.00
13.865,-99.20
13.882,-99.36
13.899,-99.47
13.916,-99.51
13.932,-99.49
13.949,-99.45
13.966,-99.30
13.983,-99.10
13.999,-98.87
14.016,-98.57
14.033,-98.22
14.049,-97.80
14.066,-97.36
14.083,-96.86
14.100,-96.32
14.116,-95.71
14.133,-95.12
14.150,-94.51
14.166,-93.82
14.183,-93.13
14.200,-92.45
14.217,-91.67
14.233,-90.95
14.250,-90.19
14.267,-89.45
14.284,-88.67
14.300,-87.90
14.317,-87.18
14.334,-86.48
14.350,-85.79
14.367,-85.13
14.384,-84.48
14.401,-83.91
14.417,-83.32
14.434,-82.80
14.451,-82.34
14.468,-81.91
14.484,-81.52
14.501,-81.22
14.518,-80.94
14.534,-80.72
14.551,-80.59
14.568,-80.52
14.585,-80.52
14.601,-80.56
14.618,-80.65
14.635,-80.82
14.652,-81.04
14.668,-81.32
14.685,-81.65
14.702,-82.02
14.718,-82.44
14.735,-82.94
14.752,-83.47
14.769,-84.03
14.785,-84.65
14.802,-85.29
14.819,-85.94
14.836,-86.64
14.852,-87.33
14.869,-88.05
14.886,-88.76
14.902,-89.50
14.919,-90.26
14.936,-90.98
14.953,-91.70
14.969,-92.43
14.986,-93.16
15.003,-93.79
15.019,-94.44
15.036,-95.09
15.053,-95.68
15.070,-96.23
15.086,-96.74
15.103,-97.20
15.120,-97.63
15.137,-97.99
15.153,-98.32
15.170,-98.59
15.187,-98.81
15.203,-98.95
15.220,-99.05
15.237,-99.11
15.254,-99.10
15.270,-99.06
15.287,-98.95
15.304,-98.76
15.321,-98.54
15.337,-98.28
15.354,-97.97
15.371,-97.59
15.387,-97.20
15.404,-96.71
15.421,-96.22
15.438,-95.66
15.454,-95.07
15.471,-94.44
15.488,-93.79
15.505,-93.11
15.521,-92.43
15.538,-91.73
15.555,-91.03
15.571,-90.31
15.588,-89.59
15.605,-88.85
15.622,-88.16
15.638,-87.47
15.655,-86.75
15.672,-86.07
15.689,-85.45
15.705,-84.82
15.722,-84.25
15.739,-83.68
15.755,-83.17
15.772,-82.68
15.789,-82.26
15.806,-81.91
15.822,-81.57
15.839,-81.27
15.856,-81.05
15.872,-80.90
15.889,-80.82
15.906,-80.79
15.923,-80.78
15.939,-80.81
15.956,-80.94
15.973,-81.11
15.990,-81.36
16.006,-81.65
16.023,-82.03
16.040,-82.43
16.056,-82.87
16.073,-83.37
16.090,-83.95
16.107,-84.48
16.123,-85.09
16.140,-85.73
16.157,-86.39
16.174,-87.10
16.190,-87.76
16.207,-88.49
16.224,-89.17
16.240,-89.92
16.257,-90.61
16.274,-91.29
16.291,-92.01
16.307,-92.70
16.324,-93.35
16.341,-93.98
16.358,-94.59
16.374,-95.16
16.391,-95.70
16.408,-96.19
16.424,-96.67
16.441,-97.12
16.458,-97.51
16.475,-97.85
16.491,-98.12
16.508,-98.55
16.525,-98.71
16.542,-98.75
16.558,-98.77
16.575,-98.75
16.592,-98.69
16.608,-98.54
16.625,-98.37
16.642,-98.14
16.659,-97.83
16.675,-97.48
16.692,-97.10
16.709,-96.63
16.725,-96.61
16.742,-96.13
16.759,-95.60
16.776,-95.05
16.792,-94.47
16.809,-93.86
16.826,-93.23
16.843,-92.58
16.859,-91.93
16.876,-91.23
16.893,-90.55
16.909,-89.85
16.926,-89.15
16.943,-88.47
16.960,-87.78
16.976,-87.11
16.993,-85.82
17.010,-85.24
17.027,-84.65
17.043,-84.12
17.060,-83.57
17.077,-83.11
17.093,-82.68
17.110,-82.33
17.127,-81.97
17.144,-81.71
17.160,-81.49
17.177,-81.33
17.194,-81.21
17.211,-81.17
17.227,-81.18
17.244,-81.23
17.261,-81.32
17.277,-81.51
17.294,-81.72
17.311,-82.01
17.328,-82.32
17.344,-82.70
17.361,-83.08
17.378,-83.57
17.395,-84.06
17.411,-84.61
17.428,-85.20
17.445,-85.78
17.461,-86.42
17.478,-87.05
17.495,-87.70
17.512,-88.40
17.528,-89.07
17.545,-89.76
17.562,-90.43
17.578,-91.11
17.595,-91.79
17.612,-92.49
17.629,-93.12
17.645,-93.75
17.662,-94.35
17.679,-94.93
17.696,-95.48
17.712,-95.96
17.729,-96.42
17.746,-96.85
17.762,-97.23
17.779,-97.56
17.796,-97.83
17.813,-98.07
17.829,-98.26
17.846,-98.40
17.863,-98.48
17.880,-98.51
17.896,-98.53
17.913,-98.49
17.930,-98.32
17.946,-98.14
17.963,-97.91
17.980,-97.66
17.997,-97.32
18.013,-96.97
18.030,-96.58
18.047,-96.10
18.064,-95.61
18.080,-95.09
18.097,-94.55
18.114,-93.94
18.130,-93.32
18.147,-92.70
18.164,-92.04
18.181,-91.39
18.197,-90.71
18.214,-90.06
18.231,-89.37
18.248,-88.68
18.264,-88.04
18.281,-87.36
18.298,-86.73
18.314,-86.08
18.331,-85.49
18.348,-84.94
18.365,-84.42
18.381,-83.89
18.398,-83.42
18.415,-83.02
18.431,-82.59
18.448,-82.30
18.465,-82.02
18.482,-81.79
18.498,-81.62
18.515,-81.53
18.532,-81.46
18.549,-81.45
18.565,-81.42
18.582,-81.50
18.599,-81.66
18.615,-81.86
18.632,-82.14
18.649,-82.43
18.666,-82.78
18.682,-83.17
18.699,-83.59
18.716,-84.08
18.733,-84.57
18.749,-85.09
18.766,-85.68
18.783,-86.28
18.799,-86.90
18.816,-87.53
18.833,-88.16
18.850,-88.83
18.866,-89.53
18.883,-90.20
18.900,-90.86
18.917,-91.50
18.933,-92.15
18.950,-92.78
18.967,-93.41
18.983,-94.00
19.000,-94.58
19.017,-95.09
19.034,-95.59
19.050,-96.06
19.067,-96.50
19.084,-96.87
19.101,-97.23
19.117,-97.51
19.134,-97.74
19.151,-97.96
19.167,-98.11
19.184,-98.20
19.201,-98.26
19.218,-98.27
19.234,-98.23
19.251,-98.13
19.268,-97.98
19.284,-97.76
19.301,-97.54
19.318,-97.21
19.335,-96.87
19.351,-96.50
19.368,-96.07
19.385,-95.61
19.402,-95.10
19.418,-94.60
19.435,-94.01
19.452,-93.44
19.468,-92.83
19.485,-92.21
19.502,-91.60
19.519,-90.91
19.535,-90.26
19.552,-89.61
19.569,-88.93
19.586,-88.30
19.602,-87.64
19.619,-87.02
19.636,-86.42
19.652,-85.83
19.669,-85.28
19.686,-84.75
19.703,-84.24
19.719,-83.76
19.736,-83.36
19.753,-82.97
19.770,-82.64
19.786,-82.34
19.803,-82.12
19.820,-81.92
19.836,-81.79
19.853,-81.71
19.870,-81.68
19.887,-81.70
19.903,-81.74
19.920,-81.87
19.937,-82.04
19.954,-82.27
19.970,-82.55
19.987,-82.86
20.004,-83.22
20.020,-83.62
20.037,-84.06
20.054,-84.56
20.071,-85.09
20.087,-85.64
20.104,-86.21
20.121,-86.82
20.137,-87.43
20.154,-88.09
20.171,-88.72
20.188,-89.36
20.204,-90.00
20.221,-90.66
20.238,-91.29
20.255,-91.90
20.271,-92.52
20.288,-93.10
20.305,-93.69
20.321,-94.23
20.338,-94.77
20.355,-95.29
20.372,-95.72
20.388,-96.17
20.405,-96.56
20.422,-96.88
20.439,-97.18
20.455,-97.43
20.472,-97.64
20.489,-97.80
20.505,-97.91
20.522,-97.98
20.539,-98.00
20.556,-97.96
20.572,-97.88
20.589,-97.73
20.606,-97.51
20.623,-97.29
20.639,-97.02
20.656,-96.71
20.673,-96.35
20.689,-95.96
20.706,-95.50
20.723,-95.03
20.740,-94.52
20.756,-94.00
20.773,-93.43
20.790,-92.86
20.807,-92.26
20.823,-91.63
20.840,-90.99
20.857,-90.39
20.873,-89.71
20.890,-89.07
20.907,-88.45
20.924,-87.82
20.940,-87.21
20.957,-86.61
20.974,-86.00
20.990,-85.45
21.007,-84.96
21.024,-84.45
21.041,-84.04
21.057,-83.59
21.074,-83.20
21.091,-82.90
21.108,-82.62
21.124,-82.37
21.141,-82.17
21.158,-82.01
21.174,-81.92
21.191,-81.87
21.208,-81.86
21.225,-81.89
21.241,-82.01
21.258,-82.16
21.275,-82.35
21.292,-82.61
21.308,-82.93
21.325,-83.28
21.342,-83.66
21.358,-84.06
21.375,-84.51
21.392,-85.01
21.409,-85.54
21.425,-86.07
21.442,-86.64
21.459,-87.24
21.476,-87.79
21.492,-88.44
21.509,-89.08
21.526,-89.70
21.542,-90.30
21.559,-90.94
21.576,-91.54
21.593,-92.16
21.609,-92.75
21.626,-93.34
21.643,-93.86
21.660,-94.36
21.676,-94.86
21.693,-95.31
21.710,-95.73
21.726,-96.12
21.743,-96.46
21.760,-96.74
21.777,-97.00
21.793,-97.22
21.810,-97.38
21.827,-97.48
21.843,-97.55
21.860,-97.56
21.877,-97.54
21.894,-97.46
21.910,-97.35
21.927,-97.19
21.944,-96.98
21.961,-96.72
21.977,-96.43
21.994,-96.08
22.011,-95.72
22.027,-95.30
22.044,-94.87
22.061,-94.38
22.078,-93.89
22.094,-93.34
22.111,-92.78
22.128,-92.19
22.145,-91.59
22.161,-90.99
22.178,-90.39
22.195,-89.80
22.211,-89.21
22.228,-88.60
22.245,-87.99
22.262,-87.39
22.278,-86.81
22.295,-86.25
22.312,-85.72
22.329,-85.25
22.345,-84.77
22.362,-84.32
22.379,-83.93
22.395,-83.54
22.412,-83.22
22.429,-82.93
22.446,-82.70
22.462,-82.47
22.479,-82.30
22.496,-82.23
22.513,-82.15
22.529,-82.16
22.546,-82.16
22.563,-82.24
22.579,-82.38
22.596,-82.55
22.613,-82.78
22.630,-83.06
22.646,-83.38
22.663,-83.76
22.680,-84.15
22.696,-84.64
22.713,-85.10
22.730,-85.59
22.747,-86.12
22.763,-86.66
22.780,-87.23
22.797,-87.81
22.814,-88.40
22.830,-89.03
22.847,-89.62
22.864,-90.24
22.880,-90.86
22.897,-91.46
22.914,-92.05
22.931,-92.59
22.947,-93.15
22.964,-93.68
22.981,-94.19
22.998,-94.69
23.014,-95.12
23.031,-95.52
23.048,-95.90
23.064,-96.25
23.081,-96.53
23.098,-96.81
23.115,-97.05
23.131,-97.20
23.148,-97.32
23.165,-97.39
23.182,-97.42
23.198,-97.43
23.215,-97.40
23.232,-97.29
23.248,-97.14
23.265,-96.94
23.282,-96.73
23.299,-96.45
23.315,-96.11
23.332,-95.77
23.349,-95.37
23.366,-94.94
23.382,-94.48
23.399,-94.01
23.416,-93.52
23.432,-92.97
23.449,-92.42
23.466,-91.85
23.483,-91.29
23.499,-90.68
23.516,-90.12
23.533,-89.51
23.549,-88.91
23.566,-88.32
23.583,-87.72
23.600,-87.17
23.616,-86.09
23.633,-85.60
23.650,-85.13
23.667,-84.68
23.683,-84.27
23.700,-83.89
23.717,-83.56
23.733,-83.25
23.750,-83.01
23.767,-82.79
23.784,-82.63
23.800,-82.53
23.817,-82.47
23.834,-82.46
23.851,-82.46
23.867,-82.51
23.884,-82.67
23.901,-82.82
23.917,-82.82
23.934,-83.01
23.951,-83.28
23.968,-83.59
23.984,-83.90
24.001,-84.28
24.018,-84.69
24.035,-85.14
24.051,-85.61
24.068,-86.12
24.085,-86.64
24.101,-87.72
24.118,-88.27
24.135,-88.86
24.152,-89.46
24.168,-90.05
24.185,-90.62
24.202,-91.20
24.219,-91.79
24.235,-92.32
24.252,-92.87
24.269,-93.35
24.285,-93.85
24.302,-94.30
24.319,-94.76
24.336,-95.19
24.352,-95.57
24.369,-95.91
24.386,-96.21
24.402,-96.50
24.419,-96.72
24.436,-96.89
24.453,-97.01
24.469,-97.10
24.486,-97.16
24.503,-97.17
24.520,-97.15
24.536,-97.07
24.553,-96.92
24.570,-96.73
24.586,-96.50
24.603,-96.24
24.620,-95.95
24.637,-95.62
24.653,-95.26
24.670,-94.84
24.687,-94.41
24.704,-93.93
24.720,-93.43
24.737,-92.93
24.754,-92.42
24.770,-91.85
24.787,-91.27
24.804,-90.71
24.821,-90.16
24.837,-89.59
24.854,-88.99
24.871,-88.45
24.888,-87.87
24.904,-87.32
24.921,-86.79
24.938,-86.28
24.954,-85.81
24.971,-85.33
24.988,-84.87
25.005,-84.46
25.021,-84.11
25.038,-83.77
25.055,-83.47
25.072,-83.20
25.088,-83.02
25.105,-82.82
25.122,-82.72
25.138,-82.66
25.155,-82.62
25.172,-82.61
25.189,-82.67
25.205,-82.76
25.222,-82.94
25.239,-83.15
25.255,-83.38
25.272,-83.64
25.289,-83.95
25.306,-84.31
25.322,-84.70
25.339,-85.14
25.356,-85.58
25.373,-86.08
25.389,-86.58
25.406,-87.08
25.423,-87.63
25.439,-88.72
25.456,-88.73
25.473,-89.29
25.490,-89.86
25.506,-90.43
25.523,-90.98
25.540,-91.55
25.557,-92.10
25.573,-92.58
25.590,-93.12
25.607,-93.62
25.623,-94.08
25.640,-94.50
25.657,-94.91
25.674,-95.27
25.690,-95.61
25.707,-95.91
25.724,-96.19
25.741,-96.41
25.757,-96.59
25.774,-96.73
25.791,-96.82
25.807,-96.89
25.824,-96.88
25.841,-96.87
25.858,-96.81
25.874,-96.69
25.891,-96.53
25.908,-96.34
25.925,-96.13
25.941,-95.81
