,mass A,
7.788,-86.92,
7.805,-87.63,
7.821,-88.28,
7.838,-88.95,
7.855,-89.61,
7.872,-90.29,
7.888,-90.91,
7.905,-91.59,
7.922,-92.19,
7.938,-92.82,
7.955,-93.29,
7.972,-93.82,
7.989,-94.19,
8.005,-94.60,
8.022,-94.91,
8.039,-95.06,
8.055,-95.21,
8.072,-95.33,
8.089,-95.32,
8.105,-95.26,
8.122,-95.12,
8.139,-94.85,
8.156,-94.56,
8.172,-94.17,
8.189,-93.72,
8.206,-93.27,
8.222,-92.64,
8.239,-92.05,
8.256,-91.39,
8.273,-90.69,
8.289,-90.00,
8.306,-89.32,
8.323,-88.63,
8.339,-87.95,
8.356,-87.39,
8.373,-86.78,
8.390,-86.22,
8.406,-85.75,
8.423,-85.34,
8.440,-84.98,
8.456,-84.74,
8.473,-84.56,
8.490,-84.47,
8.507,-84.42,
8.523,-84.42,
8.540,-84.52,
8.557,-84.78,
8.573,-85.08,
8.590,-85.39,
8.607,-85.91,
8.624,-86.39,
8.640,-86.87,
8.657,-87.47,
8.674,-88.03,
8.690,-88.64,
8.707,-89.29,
8.724,-89.89,
8.741,-90.56,
8.757,-91.27,
8.774,-91.85,
8.791,-92.47,
8.807,-92.99,
8.824,-93.47,
8.841,-93.90,
8.858,-94.28,
8.874,-94.60,
8.891,-94.84,
8.908,-95.00,
8.924,-95.05,
8.941,-95.04,
8.958,-94.99,
8.975,-94.84,
8.991,-94.54,
9.008,-94.23,
9.025,-93.90,
9.041,-93.41,
9.058,-92.91,
9.075,-92.40,
9.092,-91.78,
9.108,-91.13,
9.125,-90.48,
9.142,-89.81,
9.158,-89.16,
9.175,-88.51,
9.192,-87.91,
9.209,-87.37,
9.225,-86.86,
9.242,-86.41,
9.259,-85.97,
9.275,-85.57,
9.292,-85.30,
9.309,-85.07,
9.325,-84.86,
9.342,-84.78,
9.359,-84.71,
9.376,-84.72,
9.392,-84.80,
9.409,-85.01,
9.426,-85.29,
9.442,-85.61,
9.459,-86.00,
9.476,-86.47,
9.493,-86.94,
9.509,-87.49,
9.526,-88.00,
9.543,-88.60,
9.559,-89.27,
9.576,-89.90,
9.593,-90.56,
9.610,-91.19,
9.626,-91.78,
9.643,-92.32,
9.660,-92.86,
9.676,-93.32,
9.693,-93.73,
9.710,-94.11,
9.727,-94.34,
9.743,-94.53,
9.760,-94.69,
9.777,-94.76,
9.793,-94.75,
9.810,-94.66,
9.827,-94.54,
9.844,-94.28,
9.860,-93.95,
9.877,-93.60,
9.894,-93.20,
9.910,-92.75,
9.927,-92.22,
9.944,-91.72,
9.961,-91.13,
9.977,-90.54,
9.994,-89.94,
10.011,-89.38,
10.027,-88.80,
10.044,-88.17,
10.061,-87.65,
10.078,-87.16,
10.094,-86.66,
10.111,-86.24,
10.128,-85.86,
10.144,-85.58,
10.161,-85.35,
10.178,-85.17,
10.195,-85.08,
10.211,-85.00,
10.228,-85.02,
10.245,-85.07,
10.261,-85.22,
10.278,-85.53,
10.295,-85.90,
10.312,-86.28,
10.328,-86.68,
10.345,-87.16,
10.362,-87.68,
10.378,-88.20,
10.395,-88.81,
10.412,-89.36,
10.429,-89.99,
10.445,-90.57,
10.462,-91.19,
10.479,-91.74,
10.495,-92.27,
10.512,-92.74,
10.529,-93.17,
10.545,-93.57,
10.562,-93.90,
10.579,-94.17,
10.596,-94.29,
10.612,-94.42,
10.629,-94.47,
10.646,-94.44,
10.662,-94.40,
10.679,-94.22,
10.696,-94.01,
10.713,-93.74,
10.729,-93.39,
10.746,-92.98,
10.763,-92.57,
10.779,-92.11,
10.796,-91.60,
10.813,-91.09,
10.830,-90.51,
10.846,-90.00,
10.863,-89.40,
10.880,-88.83,
10.896,-88.31,
10.913,-87.78,
10.930,-87.24,
10.947,-86.79,
10.963,-86.36,
10.980,-85.99,
10.997,-85.70,
11.013,-85.40,
11.030,-85.23,
11.047,-85.14,
11.064,-85.10,
11.080,-85.08,
11.097,-85.18,
11.114,-85.37,
11.130,-85.64,
11.147,-85.97,
11.164,-86.37,
11.181,-86.75,
11.197,-87.20,
11.214,-87.73,
11.231,-88.28,
11.247,-88.83,
11.264,-89.39,
11.281,-89.96,
11.298,-90.50,
11.314,-91.06,
11.331,-91.63,
11.348,-92.05,
11.364,-92.55,
11.381,-92.92,
11.398,-93.29,
11.415,-93.62,
11.431,-93.88,
11.448,-94.08,
11.465,-94.14,
11.481,-94.21,
11.498,-94.21,
11.515,-94.23,
11.532,-94.09,
11.548,-93.89,
11.565,-93.63,
11.582,-93.36,
11.598,-92.95,
11.615,-92.54,
11.632,-92.12,
11.649,-91.60,
11.665,-91.05,
11.682,-90.55,
11.699,-89.97,
11.715,-89.43,
11.732,-88.88,
11.749,-88.35,
11.765,-87.86,
11.782,-87.40,
11.799,-86.97,
11.816,-86.58,
11.832,-86.22,
11.849,-85.99,
11.866,-85.77,
11.882,-85.60,
11.899,-85.54,
11.916,-85.55,
11.933,-85.58,
11.949,-85.68,
11.966,-85.88,
11.983,-86.12,
11.999,-86.39,
12.016,-86.73,
12.033,-87.10,
12.050,-87.53,
12.066,-87.97,
12.083,-88.48,
12.100,-88.93,
12.116,-89.48,
12.133,-89.97,
12.150,-90.50,
12.167,-91.04,
12.183,-91.54,
12.200,-92.00,
12.217,-92.43,
12.233,-92.81,
12.250,-93.10,
12.267,-93.38,
12.284,-93.62,
12.300,-93.79,
12.317,-93.87,
12.334,-93.98,
12.350,-93.95,
12.367,-93.95,
12.384,-93.62,
12.401,-93.62,
12.417,-93.34,
12.434,-93.08,
12.451,-92.66,
12.467,-92.26,
12.484,-91.82,
12.501,-91.32,
12.518,-90.82,
12.534,-90.28,
12.551,-89.75,
12.568,-89.27,
12.584,-88.75,
12.601,-88.22,
12.618,-87.76,
12.635,-87.31,
12.651,-86.95,
12.668,-86.59,
12.685,-86.33,
12.701,-86.06,
12.718,-85.84,
12.735,-85.67,
12.752,-85.59,
12.768,-85.60,
12.785,-85.64,
12.802,-85.71,
12.818,-85.89,
12.835,-86.20,
12.852,-86.47,
12.869,-86.76,
12.885,-87.14,
12.902,-87.50,
12.919,-87.93,
12.935,-88.42,
12.952,-88.92,
12.969,-89.40,
12.985,-89.90,
13.002,-90.43,
13.019,-90.95,
13.036,-91.38,
13.052,-91.81,
13.069,-92.19,
13.086,-92.62,
13.102,-92.98,
13.119,-93.25,
13.136,-93.45,
13.153,-93.62,
13.169,-93.72,
13.186,-93.72,
13.203,-93.72,
13.219,-93.67,
13.236,-93.53,
13.253,-93.33,
13.270,-93.12,
13.286,-92.72,
13.303,-92.40,
13.320,-91.98,
13.336,-91.58,
13.353,-91.12,
13.370,-90.66,
13.387,-90.19,
13.403,-89.69,
13.420,-89.20,
13.437,-88.79,
13.453,-88.27,
13.470,-87.86,
13.487,-87.46,
13.504,-87.08,
13.520,-86.71,
13.537,-86.41,
13.554,-86.12,
13.570,-85.93,
13.587,-85.78,
13.604,-85.70,
13.621,-85.67,
13.637,-85.69,
13.654,-85.77,
13.671,-85.93,
13.687,-86.21,
13.704,-86.47,
13.721,-86.74,
13.738,-87.12,
13.754,-87.54,
13.771,-87.99,
13.788,-88.49,
13.804,-88.92,
13.821,-89.42,
13.838,-89.89,
13.855,-90.37,
13.871,-90.86,
13.888,-91.31,
13.905,-91.78,
13.921,-92.15,
13.938,-92.46,
13.955,-92.74,
13.972,-92.99,
13.988,-93.19,
14.005,-93.34,
14.022,-93.43,
14.038,-93.45,
14.055,-93.43,
14.072,-93.34,
14.089,-93.24,
14.105,-93.03,
14.122,-92.78,
14.139,-92.44,
14.155,-92.12,
14.172,-91.70,
14.189,-91.31,
14.205,-90.87,
14.222,-90.45,
14.239,-89.96,
14.256,-89.56,
14.272,-89.10,
14.289,-88.61,
14.306,-88.21,
14.322,-87.80,
14.339,-87.33,
14.356,-87.03,
14.373,-86.68,
14.389,-86.44,
14.406,-86.17,
14.423,-86.05,
14.439,-85.93,
14.456,-85.87,
14.473,-85.91,
14.490,-85.94,
14.506,-86.03,
14.523,-86.24,
14.540,-86.47,
14.556,-86.73,
14.573,-87.04,
14.590,-87.36,
14.607,-87.81,
14.623,-88.16,
14.640,-88.61,
14.657,-89.06,
14.673,-89.52,
14.690,-90.01,
14.707,-90.46,
14.724,-90.89,
14.740,-91.32,
14.757,-91.70,
14.774,-92.04,
14.790,-92.36,
14.807,-92.66,
14.824,-92.88,
14.841,-93.07,
14.857,-93.19,
14.874,-93.30,
14.891,-93.31,
14.907,-93.30,
14.924,-93.27,
14.941,-93.17,
14.958,-92.94,
14.974,-92.71,
14.991,-92.41,
15.008,-92.09,
15.024,-91.70,
15.041,-91.31,
15.058,-90.90,
15.075,-90.46,
15.091,-89.98,
15.108,-89.55,
15.125,-89.13,
15.141,-88.63,
15.158,-88.27,
15.175,-87.85,
15.192,-87.55,
15.208,-87.22,
15.225,-86.92,
15.242,-86.69,
15.258,-86.49,
15.275,-86.31,
15.292,-86.23,
15.309,-86.19,
15.325,-86.19,
15.342,-86.26,
15.359,-86.37,
15.375,-86.55,
15.392,-86.78,
15.409,-87.08,
15.425,-87.34,
15.442,-87.68,
15.459,-88.05,
15.476,-88.43,
15.492,-88.84,
15.509,-89.32,
15.526,-89.73,
15.542,-90.10,
15.559,-90.56,
15.576,-90.99,
15.593,-91.40,
15.609,-91.74,
15.626,-92.01,
15.643,-92.33,
15.659,-92.60,
15.676,-92.81,
15.693,-92.96,
15.710,-93.07,
15.726,-93.13,
15.743,-93.09,
15.760,-93.02,
15.776,-92.86,
15.793,-92.71,
15.810,-92.46,
15.827,-92.13,
15.843,-91.82,
15.860,-91.46,
15.877,-91.01,
15.893,-90.60,
15.910,-90.23,
15.927,-89.80,
15.944,-89.38,
15.960,-88.98,
15.977,-88.54,
15.994,-88.22,
16.010,-87.82,
16.027,-87.45,
16.044,-87.13,
16.061,-86.85,
16.077,-86.62,
16.094,-86.47,
16.111,-86.36,
16.127,-86.27,
16.144,-86.24,
16.161,-86.28,
16.178,-86.32,
16.194,-86.43,
16.211,-86.60,
16.228,-86.87,
16.244,-87.12,
16.261,-87.40,
16.278,-87.73,
16.295,-88.05,
16.311,-88.44,
16.328,-88.85,
16.345,-89.28,
16.361,-89.69,
16.378,-90.10,
16.395,-90.49,
16.412,-90.90,
16.428,-91.25,
16.445,-91.64,
16.462,-91.96,
16.478,-92.24,
16.495,-92.57,
16.512,-92.71,
16.529,-92.85,
16.545,-92.97,
16.562,-93.05,
16.579,-93.06,
16.595,-93.01,
16.612,-92.92,
16.629,-92.75,
16.645,-92.57,
16.662,-92.31,
16.679,-92.03,
16.696,-91.72,
16.712,-91.37,
16.729,-91.01,
16.746,-90.61,
16.762,-90.20,
16.779,-89.86,
16.796,-89.45,
16.813,-89.05,
16.829,-88.63,
16.846,-88.27,
16.863,-87.91,
16.879,-87.64,
16.896,-87.34,
16.913,-87.09,
16.930,-86.84,
16.946,-86.75,
16.963,-86.62,
16.980,-86.57,
16.996,-86.55,
17.013,-86.59,
17.030,-86.62,
17.047,-86.75,
17.063,-86.91,
17.080,-87.17,
17.097,-87.41,
17.113,-87.72,
17.130,-88.02,
17.147,-88.34,
17.164,-88.71,
17.180,-89.12,
17.197,-89.46,
17.214,-89.81,
17.230,-90.25,
17.247,-90.61,
17.264,-90.98,
17.281,-91.35,
17.297,-91.67,
17.314,-91.96,
17.331,-92.20,
17.347,-92.44,
17.364,-92.61,
17.381,-92.73,
17.398,-92.82,
17.414,-92.84,
17.431,-92.87,
17.448,-92.87,
17.464,-92.81,
17.481,-92.61,
17.498,-92.43,
17.515,-92.13,
17.531,-91.88,
17.548,-91.57,
17.565,-91.25,
17.581,-90.90,
17.598,-90.55,
17.615,-90.17,
17.632,-89.83,
17.648,-89.39,
17.665,-89.00,
17.682,-88.65,
17.698,-88.29,
17.715,-87.97,
17.732,-87.67,
17.749,-87.39,
17.765,-87.17,
17.782,-87.02,
17.799,-86.88,
17.815,-86.79,
17.832,-86.69,
17.849,-86.67,
17.865,-86.69,
17.882,-86.71,
17.899,-86.85,
17.916,-87.05,
17.932,-87.29,
17.949,-87.51,
17.966,-87.86,
17.982,-88.18,
17.999,-88.58,
18.016,-88.92,
18.033,-89.32,
18.049,-89.66,
18.066,-90.07,
18.083,-90.43,
18.099,-90.76,
18.116,-91.09,
18.133,-91.39,
18.150,-91.69,
18.166,-91.97,
18.183,-92.17,
18.200,-92.40,
18.216,-92.52,
18.233,-92.67,
18.250,-92.73,
18.267,-92.73,
18.283,-92.69,
18.300,-92.67,
18.317,-92.58,
18.333,-92.42,
18.350,-92.17,
18.367,-91.96,
18.384,-91.69,
18.400,-91.32,
18.417,-91.06,
18.434,-90.68,
18.450,-90.32,
18.467,-89.96,
18.484,-89.59,
18.501,-89.25,
18.517,-88.92,
18.534,-88.57,
18.551,-88.27,
18.567,-87.99,
18.584,-87.68,
18.601,-87.41,
18.618,-87.20,
18.634,-87.03,
18.651,-86.94,
18.668,-86.84,
18.684,-86.86,
18.701,-86.88,
18.718,-86.90,
18.735,-86.99,
18.751,-87.12,
18.768,-87.29,
18.785,-87.55,
18.801,-87.78,
18.818,-88.07,
18.835,-88.35,
18.852,-88.65,
18.868,-89.01,
18.885,-89.36,
18.902,-89.71,
18.918,-90.05,
18.935,-90.42,
18.952,-90.69,
18.969,-91.08,
18.985,-91.36,
19.002,-91.62,
19.019,-91.88,
19.035,-92.11,
19.052,-92.27,
19.069,-92.42,
19.086,-92.47,
19.102,-92.52,
19.119,-92.57,
19.136,-92.57,
19.152,-92.54,
19.169,-92.46,
19.186,-92.24,
19.202,-92.05,
19.219,-91.80,
19.236,-91.48,
19.253,-91.17,
19.269,-90.81,
19.286,-90.45,
19.303,-90.05,
19.319,-89.73,
19.336,-89.35,
19.353,-89.03,
19.370,-88.65,
19.386,-88.35,
19.403,-88.04,
19.420,-87.72,
19.436,-87.53,
19.453,-87.30,
19.470,-87.17,
19.487,-87.01,
19.503,-86.95,
19.520,-86.89,
19.537,-86.86,
19.553,-86.91,
19.570,-86.97,
19.587,-87.06,
19.604,-87.22,
19.620,-87.44,
19.637,-87.63,
19.654,-87.88,
19.670,-88.17,
19.687,-88.55,
19.704,-88.89,
19.721,-89.23,
19.737,-89.59,
19.754,-89.90,
19.771,-90.25,
19.787,-90.60,
19.804,-90.96,
19.821,-91.24,
19.838,-91.55,
19.854,-91.81,
19.871,-91.99,
19.888,-92.17,
19.904,-92.34,
19.921,-92.45,
19.938,-92.48,
19.955,-92.49,
19.971,-92.48,
19.988,-92.43,
20.005,-92.35,
20.021,-92.22,
20.038,-92.04,
20.055,-91.79,
20.072,-91.57,
20.088,-91.29,
20.105,-91.00,
20.122,-90.70,
20.138,-90.34,
20.155,-90.02,
20.172,-89.70,
20.189,-89.33,
20.205,-89.01,
20.222,-88.70,
20.239,-88.38,
20.255,-88.08,
20.272,-87.81,
20.289,-87.55,
20.306,-87.39,
20.322,-87.20,
20.339,-87.14,
20.356,-86.99,
20.372,-86.97,
20.389,-86.97,
20.406,-86.98,
20.422,-87.07,
20.439,-87.16,
20.456,-87.30,
20.473,-87.48,
20.489,-87.69,
20.506,-87.97,
20.523,-88.25,
20.539,-88.57,
20.556,-88.89,
20.573,-89.24,
20.590,-89.59,
20.606,-89.92,
20.623,-90.30,
20.640,-90.58,
20.656,-90.90,
20.673,-91.21,
20.690,-91.49,
20.707,-91.71,
20.723,-91.88,
20.740,-92.05,
20.757,-92.16,
20.773,-92.23,
20.790,-92.34,
20.807,-92.34,
20.824,-92.32,
20.840,-92.27,
20.857,-92.21,
20.874,-92.06,
20.890,-91.86,
20.907,-91.67,
20.924,-91.44,
20.941,-91.13,
20.957,-90.80,
20.974,-90.50,
20.991,-90.13,
21.007,-89.83,
21.024,-89.46,
21.041,-89.12,
21.058,-88.79,
21.074,-88.49,
21.091,-88.19,
21.108,-87.96,
21.124,-87.71,
21.141,-87.51,
21.158,-87.38,
21.175,-87.25,
21.191,-87.19,
21.208,-87.15,
21.225,-87.08,
21.241,-87.03,
21.258,-87.07,
21.275,-87.09,
21.292,-87.30,
21.308,-87.38,
21.325,-87.63,
21.342,-87.86,
21.358,-88.13,
21.375,-88.39,
21.392,-88.69,
21.409,-88.99,
21.425,-89.27,
21.442,-89.64,
21.459,-89.93,
21.475,-90.30,
21.492,-90.58,
21.509,-90.87,
21.526,-91.18,
21.542,-91.43,
21.559,-91.60,
21.576,-91.82,
21.592,-91.95,
21.609,-92.04,
21.626,-92.09,
21.642,-92.13,
21.659,-92.11,
21.676,-92.08,
21.693,-92.02,
21.709,-91.94,
21.726,-91.77,
21.743,-91.59,
21.759,-91.36,
21.776,-91.16,
21.793,-90.84,
21.810,-90.62,
21.826,-90.35,
21.843,-90.02,
21.860,-89.74,
21.876,-89.41,
21.893,-89.10,
21.910,-88.73,
21.927,-88.48,
21.943,-88.19,
21.960,-87.95,
21.977,-87.77,
21.993,-87.59,
22.010,-87.43,
22.027,-87.30,
22.044,-87.25,
22.060,-87.20,
22.077,-87.23,
22.094,-87.25,
22.110,-87.31,
22.127,-87.39,
22.144,-87.55,
22.161,-87.75,
22.177,-87.90,
22.194,-88.14,
22.211,-88.38,
22.227,-88.62,
22.244,-88.92,
22.261,-89.25,
22.278,-89.52,
22.294,-89.88,
22.311,-90.20,
22.328,-90.47,
22.344,-90.74,
22.361,-90.97,
22.378,-91.24,
22.395,-91.46,
22.411,-91.63,
22.428,-91.77,
22.445,-91.88,
22.461,-92.03,
22.478,-92.06,
22.495,-92.06,
22.512,-92.05,
22.528,-92.03,
22.545,-91.95,
22.562,-91.86,
22.578,-91.69,
22.595,-91.50,
22.612,-91.25,
22.629,-91.05,
22.645,-90.77,
22.662,-90.48,
22.679,-90.19,
22.695,-89.93,
22.712,-89.65,
22.729,-89.33,
22.746,-89.05,
22.762,-88.79,
22.779,-88.45,
22.796,-88.23,
22.812,-88.02,
22.829,-87.81,
22.846,-87.65,
22.862,-87.52,
22.879,-87.40,
22.896,-87.35,
22.913,-87.31,
22.929,-87.31,
22.946,-87.31,
22.963,-87.37,
22.979,-87.48,
22.996,-87.62,
23.013,-87.76,
23.030,-87.98,
23.046,-88.19,
23.063,-88.49,
23.080,-88.75,
23.096,-89.02,
23.113,-89.29,
23.130,-89.61,
23.147,-89.90,
23.163,-90.17,
23.180,-90.51,
23.197,-90.76,
23.213,-90.98,
23.230,-91.22,
23.247,-91.46,
23.264,-91.56,
23.280,-91.74,
23.297,-91.87,
23.314,-91.93,
23.330,-91.99,
23.347,-92.02,
