,mass A,
t,θr,
0.000,-82.60,
0.017,-82.65,
0.033,-83.19,
0.050,-83.87,
0.067,-84.48,
0.084,-85.09,
0.100,-85.69,
0.117,-86.38,
0.134,-87.05,
0.150,-87.81,
0.167,-88.55,
0.184,-89.40,
0.201,-90.30,
0.217,-91.25,
0.234,-92.33,
0.251,-93.35,
0.267,-94.41,
0.284,-95.35,
0.301,-96.35,
0.318,-97.26,
0.334,-98.01,
0.351,-98.58,
0.368,-99.04,
0.384,-99.30,
0.401,-99.34,
0.418,-99.21,
0.435,-98.85,
0.451,-98.36,
0.468,-97.66,
0.485,-96.93,
0.501,-96.01,
0.518,-95.03,
0.535,-93.94,
0.552,-92.97,
0.568,-91.84,
0.585,-90.81,
0.602,-89.70,
0.618,-88.70,
0.635,-87.69,
0.652,-86.79,
0.668,-86.00,
0.685,-85.18,
0.702,-84.53,
0.719,-83.99,
0.735,-83.41,
0.752,-82.98,
0.769,-82.69,
0.785,-82.44,
0.802,-82.25,
0.819,-82.21,
0.836,-82.26,
0.852,-82.32,
0.869,-82.50,
0.886,-82.81,
0.902,-83.27,
0.919,-83.70,
0.936,-84.23,
0.953,-84.87,
0.969,-85.59,
0.986,-86.44,
1.003,-87.38,
1.019,-88.29,
1.036,-89.37,
1.053,-90.40,
1.070,-91.53,
1.086,-92.61,
1.103,-93.77,
1.120,-94.79,
1.136,-95.62,
1.153,-96.50,
1.170,-97.25,
1.187,-97.82,
1.203,-98.18,
1.220,-98.47,
1.237,-98.52,
1.253,-98.50,
1.270,-98.27,
1.287,-97.91,
1.304,-97.46,
1.320,-96.88,
1.337,-96.22,
1.354,-95.49,
1.370,-94.70,
1.387,-93.89,
1.404,-92.98,
1.421,-92.12,
1.437,-91.24,
1.454,-90.35,
1.471,-89.48,
1.487,-88.65,
1.504,-87.85,
1.521,-87.09,
1.538,-86.28,
1.554,-85.57,
1.571,-84.94,
1.588,-84.33,
1.604,-83.80,
1.621,-83.26,
1.638,-82.87,
1.655,-82.57,
1.671,-82.34,
1.688,-82.20,
1.705,-82.18,
1.721,-82.26,
1.738,-82.54,
1.755,-82.89,
1.772,-83.38,
1.788,-84.02,
1.805,-84.72,
1.822,-85.55,
1.838,-86.52,
1.855,-87.59,
1.872,-88.62,
1.888,-89.72,
1.905,-90.82,
1.922,-91.84,
1.939,-92.93,
1.955,-93.94,
1.972,-94.74,
1.989,-95.50,
2.005,-96.22,
2.022,-96.76,
2.039,-97.20,
2.056,-97.42,
2.072,-97.58,
2.089,-97.64,
2.106,-97.61,
2.122,-97.47,
2.139,-97.10,
2.156,-96.76,
2.173,-96.36,
2.189,-95.82,
2.206,-95.27,
2.223,-94.66,
2.239,-94.05,
2.256,-93.31,
2.273,-92.61,
2.290,-91.88,
2.306,-91.11,
2.323,-90.27,
2.340,-89.42,
2.356,-88.57,
2.373,-87.75,
2.390,-86.77,
2.407,-85.97,
2.423,-85.19,
2.440,-84.55,
2.457,-83.90,
2.473,-83.26,
2.490,-82.79,
2.507,-82.38,
2.524,-82.09,
2.540,-81.98,
2.557,-81.97,
2.574,-82.15,
2.590,-82.51,
2.607,-82.97,
2.624,-83.58,
2.641,-84.29,
2.657,-85.07,
2.674,-85.93,
2.691,-86.91,
2.707,-87.91,
2.724,-88.91,
2.741,-89.92,
2.758,-90.88,
2.774,-91.85,
2.791,-92.73,
2.808,-93.52,
2.824,-94.29,
2.841,-94.94,
2.858,-95.43,
2.875,-95.90,
2.891,-96.35,
2.908,-96.60,
2.925,-96.82,
2.941,-96.91,
2.958,-96.98,
2.975,-96.96,
2.992,-96.89,
3.008,-96.68,
3.025,-96.38,
3.042,-96.00,
3.058,-95.56,
3.075,-95.04,
3.092,-94.54,
3.108,-93.91,
3.125,-93.15,
3.142,-92.41,
3.159,-91.51,
3.175,-90.71,
3.192,-89.78,
3.209,-88.76,
3.225,-87.87,
3.242,-86.99,
3.259,-86.06,
3.276,-85.28,
3.292,-84.55,
3.309,-83.94,
3.326,-83.40,
3.342,-82.95,
3.359,-82.64,
3.376,-82.48,
3.393,-82.43,
3.409,-82.46,
3.426,-82.70,
3.443,-83.03,
3.459,-83.54,
3.476,-84.08,
3.493,-84.73,
3.510,-85.44,
3.526,-86.23,
3.543,-87.02,
3.560,-87.87,
3.576,-88.71,
3.593,-89.56,
3.610,-90.35,
3.627,-91.15,
3.643,-91.95,
3.660,-92.68,
3.677,-93.37,
3.693,-93.97,
3.710,-94.60,
3.727,-95.07,
3.744,-95.56,
3.760,-95.94,
3.777,-96.27,
3.794,-96.53,
3.810,-96.69,
3.827,-96.76,
3.844,-96.72,
3.861,-96.61,
3.877,-96.38,
3.894,-96.07,
3.911,-95.54,
3.927,-95.06,
3.944,-94.44,
3.961,-93.74,
3.978,-92.98,
3.994,-92.18,
4.011,-91.35,
4.028,-90.47,
4.044,-89.49,
4.061,-88.60,
4.078,-87.71,
4.095,-86.83,
4.111,-85.96,
4.128,-85.27,
4.145,-84.66,
4.161,-84.14,
4.178,-83.67,
4.195,-83.36,
4.212,-83.13,
4.228,-82.96,
4.245,-82.95,
4.262,-83.01,
4.278,-83.18,
4.295,-83.54,
4.312,-83.90,
4.328,-84.40,
4.345,-84.92,
4.362,-85.52,
4.379,-86.14,
4.395,-86.81,
4.412,-87.44,
4.429,-88.18,
4.445,-89.00,
4.462,-89.74,
4.479,-90.53,
4.496,-91.31,
4.512,-92.08,
4.529,-92.82,
4.546,-93.50,
4.562,-94.10,
4.579,-95.26,
4.596,-95.65,
4.613,-96.03,
4.629,-96.33,
4.646,-96.52,
4.663,-96.60,
4.679,-96.61,
4.696,-96.50,
4.713,-96.21,
4.730,-95.89,
4.746,-95.44,
4.763,-94.94,
4.780,-94.30,
4.796,-93.61,
4.813,-92.83,
4.830,-91.99,
4.847,-91.21,
4.863,-90.39,
4.880,-89.55,
4.897,-88.75,
4.913,-87.96,
4.930,-87.20,
4.947,-86.52,
4.964,-85.90,
4.980,-85.36,
4.997,-84.80,
5.014,-84.76,
5.030,-84.31,
5.047,-83.98,
5.064,-83.73,
5.081,-83.55,
5.097,-83.52,
5.114,-83.57,
5.131,-83.61,
5.147,-83.83,
5.164,-84.12,
5.181,-84.44,
5.198,-85.41,
5.214,-85.91,
5.231,-86.57,
5.248,-87.26,
5.264,-88.00,
5.281,-88.75,
5.298,-89.53,
5.315,-90.35,
5.331,-91.17,
5.348,-92.00,
5.365,-92.75,
5.381,-93.47,
5.398,-94.09,
5.415,-94.65,
5.432,-95.19,
5.448,-95.66,
5.465,-95.99,
5.482,-96.29,
5.498,-96.36,
5.515,-96.40,
5.532,-96.32,
5.548,-96.16,
5.565,-95.89,
5.582,-95.52,
5.599,-95.10,
5.615,-94.59,
5.632,-94.03,
5.649,-93.36,
5.665,-92.66,
5.682,-92.02,
5.699,-91.27,
5.716,-90.58,
5.732,-89.84,
5.749,-89.14,
5.766,-88.36,
5.782,-87.64,
5.799,-86.93,
5.816,-86.34,
5.833,-85.77,
5.849,-85.25,
5.866,-84.80,
5.883,-84.43,
5.899,-84.06,
5.916,-83.89,
5.933,-83.72,
5.950,-83.68,
5.966,-83.68,
5.983,-83.79,
6.000,-83.99,
6.016,-84.36,
6.033,-84.76,
6.050,-85.27,
6.067,-85.91,
6.083,-86.54,
6.100,-87.24,
6.117,-87.98,
6.133,-88.75,
6.150,-89.52,
6.167,-90.38,
6.184,-91.13,
6.200,-91.89,
6.217,-92.62,
6.234,-93.26,
6.250,-93.88,
6.267,-94.49,
6.284,-94.90,
6.301,-95.31,
6.317,-95.61,
6.334,-95.78,
6.351,-95.89,
6.367,-95.93,
6.384,-95.92,
6.401,-95.80,
6.418,-95.49,
6.434,-95.18,
6.451,-94.79,
6.468,-94.34,
6.484,-93.84,
6.501,-93.31,
6.518,-92.74,
6.535,-92.04,
6.551,-91.38,
6.568,-90.65,
6.585,-89.95,
6.601,-89.28,
6.618,-88.55,
6.635,-87.87,
6.652,-87.26,
6.668,-86.64,
6.685,-86.06,
6.702,-85.48,
6.718,-84.98,
6.735,-84.60,
6.752,-84.28,
6.769,-84.05,
6.785,-83.96,
6.802,-83.95,
6.819,-83.98,
6.835,-84.12,
6.852,-84.34,
6.869,-84.66,
6.885,-85.14,
6.902,-85.61,
6.919,-86.18,
6.936,-86.79,
6.952,-87.46,
6.969,-88.20,
6.986,-88.93,
7.002,-89.66,
7.019,-90.38,
7.036,-91.09,
7.053,-91.76,
7.069,-92.39,
7.086,-92.98,
7.103,-93.53,
7.119,-94.09,
7.136,-94.48,
7.153,-94.79,
7.170,-95.03,
7.186,-95.26,
7.203,-95.33,
7.220,-95.42,
7.236,-95.38,
7.253,-95.31,
7.270,-95.10,
7.287,-94.84,
7.303,-94.52,
7.320,-94.17,
7.337,-93.75,
7.353,-93.23,
7.370,-92.65,
7.387,-92.05,
7.404,-91.37,
7.420,-90.69,
7.437,-89.98,
7.454,-89.29,
7.470,-88.63,
7.487,-87.94,
7.504,-87.29,
7.521,-86.67,
7.537,-86.08,
7.554,-85.56,
7.571,-85.12,
7.587,-84.73,
7.604,-84.46,
7.621,-84.23,
7.638,-84.17,
7.654,-84.19,
7.671,-84.27,
7.688,-84.40,
7.704,-84.65,
7.721,-84.98,
7.738,-85.37,
7.755,-85.86,
7.771,-86.37,
