,mass A,
t,θr,
0.000,-72.44,
0.017,-72.52,
0.033,-72.81,
0.050,-73.34,
0.067,-73.97,
0.084,-74.82,
0.100,-75.79,
0.117,-76.93,
0.134,-78.10,
0.150,-79.46,
0.167,-80.92,
0.184,-82.44,
0.201,-84.03,
0.217,-85.77,
0.234,-87.52,
0.251,-89.32,
0.267,-91.08,
0.284,-92.94,
0.301,-94.70,
0.317,-96.46,
0.334,-98.15,
0.351,-99.71,
0.368,-101.2,
0.384,-102.6,
0.401,-103.8,
0.418,-104.9,
0.434,-105.8,
0.451,-106.6,
0.468,-107.2,
0.485,-107.6,
0.501,-107.8,
0.518,-107.8,
0.535,-107.6,
0.551,-107.2,
0.568,-106.6,
0.585,-105.7,
0.602,-104.7,
0.618,-103.5,
0.635,-102.2,
0.652,-100.8,
0.668,-99.19,
0.685,-97.54,
0.702,-95.82,
0.718,-94.07,
0.735,-92.28,
0.752,-90.42,
0.769,-88.56,
0.785,-86.77,
0.802,-85.01,
0.819,-83.33,
0.835,-81.79,
0.852,-80.26,
0.869,-78.93,
0.886,-77.67,
0.902,-76.59,
0.919,-75.67,
0.936,-74.82,
0.952,-74.16,
0.969,-73.67,
0.986,-73.33,
1.003,-73.17,
1.019,-73.18,
1.036,-73.34,
1.053,-73.70,
1.069,-74.21,
1.086,-74.86,
1.103,-75.69,
1.119,-76.62,
1.136,-77.74,
1.153,-79.00,
1.170,-80.41,
1.186,-81.84,
1.203,-83.40,
1.220,-85.02,
1.236,-86.76,
1.253,-88.51,
1.270,-90.30,
1.287,-92.08,
1.303,-93.81,
1.320,-95.49,
1.337,-97.21,
1.353,-98.78,
1.370,-100.3,
1.387,-101.7,
1.404,-102.9,
1.420,-104.1,
1.437,-105.0,
1.454,-105.8,
1.470,-106.5,
1.487,-106.9,
1.504,-107.1,
1.520,-107.1,
1.537,-106.9,
1.554,-106.6,
1.571,-105.9,
1.587,-105.2,
1.604,-104.3,
1.621,-103.3,
1.637,-102.1,
1.654,-100.8,
1.671,-99.39,
1.688,-97.91,
1.704,-96.29,
1.721,-94.68,
1.738,-92.98,
1.754,-91.31,
1.771,-89.64,
1.788,-87.97,
1.805,-86.36,
1.821,-84.75,
1.838,-83.23,
1.855,-81.77,
1.871,-80.39,
1.888,-79.07,
1.905,-77.93,
1.922,-76.87,
1.938,-75.98,
1.955,-75.27,
1.972,-74.64,
1.988,-74.16,
2.005,-73.83,
2.022,-73.67,
2.038,-73.69,
2.055,-73.83,
2.072,-74.20,
2.089,-74.72,
2.105,-75.41,
2.122,-76.26,
2.139,-77.27,
2.155,-78.41,
2.172,-79.66,
2.189,-81.14,
2.206,-82.64,
2.222,-84.28,
2.239,-85.95,
2.256,-87.67,
2.272,-89.42,
2.289,-91.21,
2.306,-92.95,
2.323,-94.75,
2.339,-96.39,
2.356,-97.99,
2.373,-99.43,
2.389,-100.8,
2.406,-102.0,
2.423,-103.1,
