,mass A,
t,θr,
0.000,-78.27,
0.017,-78.28,
0.033,-78.32,
0.050,-78.41,
0.067,-78.54,
0.084,-78.71,
0.100,-78.93,
0.117,-79.18,
0.134,-79.48,
0.151,-79.80,
0.167,-80.17,
0.184,-80.57,
0.201,-80.99,
0.217,-81.46,
0.234,-81.94,
0.251,-82.46,
0.268,-83.02,
0.284,-83.58,
0.301,-84.17,
0.318,-84.78,
0.334,-85.43,
0.351,-86.08,
0.368,-86.74,
0.385,-87.41,
0.401,-88.09,
0.418,-88.78,
0.435,-89.47,
0.452,-90.16,
0.468,-90.85,
0.485,-91.52,
0.502,-92.18,
0.518,-92.86,
0.535,-93.51,
0.552,-94.16,
0.569,-94.80,
0.585,-95.41,
0.602,-96.01,
0.619,-96.57,
0.636,-97.14,
0.652,-97.65,
0.669,-98.15,
0.686,-98.61,
0.702,-99.05,
0.719,-99.46,
0.736,-99.85,
0.753,-100.2,
0.769,-100.5,
0.786,-100.8,
0.803,-101.0,
0.820,-101.2,
0.836,-101.4,
0.853,-101.5,
0.870,-101.6,
0.886,-101.6,
0.903,-101.7,
0.920,-101.6,
0.937,-101.6,
0.953,-101.5,
0.970,-101.4,
0.987,-101.2,
1.003,-101.0,
1.020,-100.8,
1.037,-100.5,
1.054,-100.2,
1.070,-99.85,
1.087,-99.46,
1.104,-99.07,
1.121,-98.65,
1.137,-98.20,
1.154,-97.74,
1.171,-97.23,
1.187,-96.70,
1.204,-96.17,
1.221,-95.59,
1.238,-95.01,
1.254,-94.41,
1.271,-93.81,
1.288,-93.20,
1.305,-92.58,
1.321,-91.92,
1.338,-91.29,
1.355,-90.65,
1.371,-90.01,
1.388,-89.37,
1.405,-88.73,
1.422,-88.08,
1.438,-87.46,
1.455,-86.85,
1.472,-86.22,
1.489,-85.63,
1.505,-85.04,
1.522,-84.49,
1.539,-83.94,
1.555,-83.42,
1.572,-82.91,
1.589,-82.44,
1.606,-81.99,
1.622,-81.56,
1.639,-81.18,
1.656,-80.82,
1.672,-80.50,
1.689,-80.20,
1.706,-79.93,
1.723,-79.71,
1.739,-79.52,
1.756,-79.35,
1.773,-79.23,
1.790,-79.16,
1.806,-79.12,
1.823,-79.11,
1.840,-79.15,
1.856,-79.23,
1.873,-79.35,
1.890,-79.50,
1.907,-79.68,
1.923,-79.91,
1.940,-80.17,
1.957,-80.46,
1.974,-80.80,
1.990,-81.16,
2.007,-81.55,
2.024,-81.98,
2.040,-82.46,
2.057,-82.94,
2.074,-83.44,
2.091,-83.98,
2.107,-84.54,
2.124,-85.12,
2.141,-85.72,
2.158,-86.32,
2.174,-86.91,
2.191,-87.54,
2.208,-88.18,
2.224,-88.84,
2.241,-89.47,
2.258,-90.11,
2.275,-90.75,
2.291,-91.40,
2.308,-92.03,
2.325,-92.66,
2.341,-93.27,
2.358,-93.89,
2.375,-94.48,
2.392,-95.05,
2.408,-95.61,
2.425,-96.14,
2.442,-96.67,
2.459,-97.17,
2.475,-97.63,
2.492,-98.05,
2.509,-98.49,
2.525,-98.87,
2.542,-99.23,
2.559,-99.54,
2.576,-99.84,
2.592,-100.1,
2.609,-100.3,
2.626,-100.5,
2.643,-100.7,
2.659,-100.8,
2.676,-100.9,
2.693,-100.9,
2.709,-100.9,
2.726,-100.9,
2.743,-100.9,
2.760,-100.8,
2.776,-100.7,
2.793,-100.5,
2.810,-100.3,
2.827,-100.1,
2.843,-99.83,
2.860,-99.55,
2.877,-99.22,
2.893,-98.88,
2.910,-98.50,
2.927,-98.09,
2.944,-97.67,
2.960,-97.23,
2.977,-96.75,
2.994,-96.26,
3.010,-95.74,
3.027,-95.22,
3.044,-94.68,
3.061,-94.12,
3.077,-93.53,
3.094,-92.95,
3.111,-91.74,
3.128,-91.16,
3.144,-90.54,
3.161,-89.94,
3.178,-89.32,
3.194,-88.73,
3.211,-88.13,
3.228,-87.52,
3.245,-86.93,
3.261,-86.37,
3.278,-85.81,
3.295,-85.26,
3.312,-84.73,
3.328,-84.22,
3.345,-83.71,
3.362,-83.25,
3.378,-82.81,
3.395,-82.40,
3.412,-82.00,
3.429,-81.64,
3.445,-81.31,
3.462,-81.00,
3.479,-80.72,
3.496,-80.47,
3.512,-80.27,
3.529,-80.08,
3.546,-79.94,
3.562,-79.84,
3.579,-79.77,
3.596,-79.74,
3.613,-79.74,
3.629,-79.78,
3.646,-79.86,
3.663,-79.97,
3.679,-80.11,
3.696,-80.29,
3.713,-80.51,
3.730,-80.75,
3.746,-81.03,
3.763,-81.36,
3.780,-81.71,
3.797,-82.09,
3.813,-82.50,
3.830,-82.92,
3.847,-83.38,
3.863,-83.85,
3.880,-84.35,
3.897,-84.86,
3.914,-85.41,
3.930,-85.97,
3.947,-86.54,
3.964,-87.11,
3.981,-87.71,
3.997,-88.32,
4.014,-88.91,
4.031,-89.52,
4.047,-90.13,
4.064,-90.76,
4.081,-91.36,
4.098,-91.95,
4.114,-92.53,
4.131,-93.14,
4.148,-93.70,
4.165,-94.27,
4.181,-94.82,
4.198,-95.33,
4.215,-95.86,
4.231,-96.36,
4.248,-96.81,
4.265,-97.25,
4.282,-97.67,
4.298,-98.07,
4.315,-98.42,
4.332,-98.75,
4.348,-99.07,
4.365,-99.33,
4.382,-99.57,
4.399,-99.79,
4.415,-99.96,
4.432,-100.1,
4.449,-100.2,
4.466,-100.3,
4.482,-100.3,
4.499,-100.4,
4.516,-100.4,
4.532,-100.3,
4.549,-100.2,
4.566,-100.1,
4.583,-99.95,
4.599,-99.75,
4.616,-99.55,
4.633,-99.30,
4.650,-99.02,
4.666,-98.72,
4.683,-98.40,
4.700,-98.05,
4.716,-97.66,
4.733,-97.26,
4.750,-96.82,
4.767,-96.36,
4.783,-95.88,
4.800,-95.39,
4.817,-94.90,
4.834,-94.37,
4.850,-93.84,
4.867,-93.28,
4.884,-92.73,
4.900,-92.17,
4.917,-91.60,
4.934,-91.02,
4.951,-90.47,
4.967,-89.89,
4.984,-89.32,
5.001,-88.75,
5.017,-88.18,
5.034,-87.61,
5.051,-87.08,
5.068,-86.55,
5.084,-86.03,
5.101,-85.51,
5.118,-85.02,
5.135,-84.53,
5.151,-84.07,
5.168,-83.63,
5.185,-83.21,
5.201,-82.80,
5.218,-82.44,
5.235,-82.11,
5.252,-81.77,
5.268,-81.49,
5.285,-81.22,
5.302,-81.00,
5.319,-80.81,
5.335,-80.66,
5.352,-80.52,
5.369,-80.41,
5.385,-80.35,
5.402,-80.31,
5.419,-80.31,
5.436,-80.33,
5.452,-80.40,
5.469,-80.51,
5.486,-80.65,
5.503,-80.83,
5.519,-81.04,
5.536,-81.27,
5.553,-81.55,
5.569,-81.85,
5.586,-82.17,
5.603,-82.54,
5.620,-82.92,
5.636,-83.33,
5.653,-83.76,
5.670,-84.22,
5.686,-84.69,
5.703,-85.19,
5.720,-85.69,
5.737,-86.22,
5.753,-86.76,
5.770,-87.31,
5.787,-87.86,
5.804,-88.44,
5.820,-89.02,
5.837,-89.58,
5.854,-90.17,
5.870,-90.73,
5.887,-91.31,
5.904,-91.87,
5.921,-92.44,
5.937,-93.00,
5.954,-93.55,
5.971,-94.08,
5.988,-94.60,
6.004,-95.10,
6.021,-95.58,
6.038,-96.06,
6.054,-96.50,
6.071,-96.93,
6.088,-97.33,
6.105,-97.69,
6.121,-98.04,
6.138,-98.36,
6.155,-98.64,
6.171,-98.92,
6.188,-99.15,
6.205,-99.34,
6.222,-99.51,
6.238,-99.64,
6.255,-99.75,
6.272,-99.82,
6.289,-99.87,
6.305,-99.87,
6.322,-99.85,
6.339,-99.79,
6.355,-99.69,
6.372,-99.57,
6.389,-99.43,
6.406,-99.25,
6.422,-99.03,
6.439,-98.79,
6.456,-98.51,
6.473,-98.23,
6.489,-97.92,
6.506,-97.57,
6.523,-97.21,
6.539,-96.83,
6.556,-96.42,
6.573,-96.01,
6.590,-95.54,
6.606,-95.07,
6.623,-94.60,
6.640,-94.10,
6.657,-93.59,
6.673,-93.07,
6.690,-92.55,
6.707,-92.02,
6.723,-91.48,
6.740,-90.94,
6.757,-90.41,
6.774,-89.86,
6.790,-89.32,
6.807,-88.78,
6.824,-88.25,
6.840,-87.72,
6.857,-87.20,
6.874,-86.70,
6.891,-86.19,
6.907,-85.71,
6.924,-85.25,
6.941,-84.79,
6.958,-84.35,
6.974,-83.94,
6.991,-83.54,
7.008,-83.16,
7.024,-82.81,
7.041,-82.49,
7.058,-82.20,
7.075,-81.93,
7.091,-81.69,
7.108,-81.48,
7.125,-81.29,
7.142,-81.14,
7.158,-81.02,
7.175,-80.93,
7.192,-80.87,
7.208,-80.85,
7.225,-80.85,
7.242,-80.88,
7.259,-80.95,
7.275,-81.06,
7.292,-81.19,
7.309,-81.36,
7.326,-81.56,
7.342,-81.79,
7.359,-82.04,
7.376,-82.32,
7.392,-82.63,
7.409,-82.98,
7.426,-83.34,
7.443,-83.75,
7.459,-84.14,
7.476,-84.58,
7.493,-85.03,
7.509,-85.50,
7.526,-85.99,
7.543,-86.49,
7.560,-87.00,
7.576,-87.52,
7.593,-88.07,
7.610,-88.61,
7.627,-89.16,
7.643,-89.71,
7.660,-90.25,
7.677,-90.79,
7.693,-91.34,
7.710,-91.87,
7.727,-92.40,
7.744,-92.92,
7.760,-93.45,
7.777,-93.94,
7.794,-94.42,
7.811,-94.91,
7.827,-95.37,
7.844,-95.80,
7.861,-96.22,
7.877,-96.62,
7.894,-97.00,
7.911,-97.35,
7.928,-97.67,
7.944,-97.97,
7.961,-98.23,
7.978,-98.48,
7.995,-98.71,
8.011,-98.88,
8.028,-99.04,
8.045,-99.18,
8.061,-99.28,
8.078,-99.35,
8.095,-99.39,
8.112,-99.40,
8.128,-99.39,
8.145,-99.36,
8.162,-99.25,
8.178,-99.14,
8.195,-98.99,
8.212,-98.83,
8.229,-98.63,
8.245,-98.42,
8.262,-98.15,
8.279,-97.86,
8.296,-97.56,
8.312,-97.25,
8.329,-96.89,
8.346,-96.51,
8.362,-96.13,
8.379,-95.70,
8.396,-95.28,
8.413,-94.83,
8.429,-94.37,
8.446,-93.90,
8.463,-93.41,
8.480,-92.91,
8.496,-92.41,
8.513,-91.91,
8.530,-91.39,
8.546,-90.87,
8.563,-90.35,
8.580,-89.84,
8.597,-89.31,
8.613,-88.81,
8.630,-88.30,
8.647,-87.80,
8.664,-87.31,
8.680,-86.82,
8.697,-86.36,
8.714,-85.89,
8.730,-85.44,
8.747,-85.01,
8.764,-84.59,
8.781,-84.21,
8.797,-83.83,
8.814,-83.48,
8.831,-83.15,
8.847,-82.85,
8.864,-82.57,
8.881,-82.32,
8.898,-82.09,
8.914,-81.90,
8.931,-81.73,
8.948,-81.60,
8.965,-81.48,
8.981,-81.40,
8.998,-81.34,
9.015,-81.32,
9.031,-81.32,
9.048,-81.35,
9.065,-81.43,
9.082,-81.53,
9.098,-81.67,
9.115,-81.84,
9.132,-82.02,
9.149,-82.25,
9.165,-82.50,
9.182,-82.77,
9.199,-83.06,
9.215,-83.40,
9.232,-83.73,
9.249,-84.11,
9.266,-84.50,
9.282,-84.91,
9.299,-85.35,
9.316,-85.79,
9.333,-86.25,
9.349,-86.72,
9.366,-87.20,
9.383,-87.72,
9.399,-88.23,
9.416,-88.74,
9.433,-89.25,
9.450,-89.77,
9.466,-90.30,
9.483,-90.83,
9.500,-91.35,
9.516,-91.85,
9.533,-92.35,
9.550,-92.87,
9.567,-93.35,
9.583,-93.84,
9.600,-94.30,
9.617,-94.73,
9.634,-95.17,
9.650,-95.58,
9.667,-95.99,
9.684,-96.36,
9.700,-96.72,
9.717,-97.05,
9.734,-97.37,
9.751,-97.65,
9.767,-97.93,
9.784,-98.17,
9.801,-98.36,
9.818,-98.56,
9.834,-98.72,
9.851,-98.83,
9.868,-98.91,
9.884,-98.98,
9.901,-99.00,
9.918,-99.01,
9.935,-99.00,
9.951,-98.94,
9.968,-98.86,
9.985,-98.75,
10.002,-98.61,
10.018,-98.44,
10.035,-98.23,
10.052,-98.00,
10.068,-97.77,
10.085,-97.50,
10.102,-97.20,
10.119,-96.89,
10.135,-96.56,
10.152,-96.20,
10.169,-95.83,
10.185,-95.43,
10.202,-95.01,
10.219,-94.59,
10.236,-94.14,
